TimeSlice	Time	LH_FlexorHallucisLongus
0	0	0.000370834
1	0.00054	0.000737643
2	0.00108	0.00110047
3	0.00162	0.00173493
4	0.00216	0.00200428
5	0.0027	0.00235536
6	0.00324	0.00279953
7	0.00378	0.00314303
8	0.00432	0.0034828
9	0.00486	0.00387839
10	0.0054	0.0042389
11	0.00594	0.00456778
12	0.00648	0.00490789
13	0.00702	0.00529957
14	0.00756	0.00561788
15	0.0081	0.00593276
16	0.00864	0.00628144
17	0.00918	0.00661617
18	0.00972	0.00692095
19	0.01026	0.00722318
20	0.0108	0.00758462
21	0.01134	0.00787965
22	0.01188	0.00817152
23	0.01242	0.00848279
24	0.01296	0.00879708
25	0.0135	0.00907958
26	0.01404	0.00935904
27	0.01458	0.00968352
28	0.01512	0.00995929
29	0.01566	0.0102298
30	0.0162	0.0105206
31	0.01674	0.0108087
32	0.01728	0.0110705
33	0.01782	0.0113294
34	0.01836	0.0116282
35	0.0189	0.0118849
36	0.01944	0.0121355
37	0.01998	0.0124005
38	0.02052	0.0126704
39	0.02106	0.0129129
40	0.0216	0.0131528
41	0.02214	0.0134233
42	0.02268	0.0136623
43	0.02322	0.0138944
44	0.02376	0.0141348
45	0.0243	0.0143846
46	0.02484	0.0146092
47	0.02538	0.0148314
48	0.02592	0.0150749
49	0.02646	0.0152996
50	0.027	0.0155145
51	0.02754	0.0157305
52	0.02808	0.0159649
53	0.02862	0.016173
54	0.02916	0.0163788
55	0.0297	0.0165955
56	0.03024	0.0168068
57	0.03078	0.017006
58	0.03132	0.0172029
59	0.03186	0.0174151
60	0.0324	0.0176102
61	0.03294	0.0178008
62	0.03348	0.0179916
63	0.03402	0.0181902
64	0.03456	0.0183747
65	0.0351	0.0185572
66	0.03564	0.0187425
67	0.03618	0.018926
68	0.03672	0.0191027
69	0.03726	0.0192774
70	0.0378	0.0194537
71	0.03834	0.0196264
72	0.03888	0.0197955
73	0.03942	0.0199628
74	0.03996	0.0201283
75	0.0405	0.0202924
76	0.04104	0.0204544
77	0.04158	0.0206145
78	0.04212	0.020773
79	0.04266	0.0209297
80	0.0432	0.0210847
81	0.04374	0.0212381
82	0.04428	0.0213898
83	0.04482	0.0215398
84	0.04536	0.0216883
85	0.0459	0.0218351
86	0.04644	0.0219803
87	0.04698	0.0221239
88	0.04752	0.022266
89	0.04806	0.0224065
90	0.0486	0.0225455
91	0.04914	0.0226831
92	0.04968	0.022819
93	0.05022	0.0229536
94	0.05076	0.0230866
95	0.0513	0.0232182
96	0.05184	0.0233483
97	0.05238	0.0234771
98	0.05292	0.0236044
99	0.05346	0.0237303
100	0.054	0.0238549
101	0.05454	0.0239781
102	0.05508	0.0240999
103	0.05562	0.0242205
104	0.05616	0.0243397
105	0.0567	0.0244576
106	0.05724	0.0245742
107	0.05778	0.0246895
108	0.05832	0.0248036
109	0.05886	0.0249164
110	0.0594	0.025028
111	0.05994	0.0251383
112	0.06048	0.0252475
113	0.06102	0.0253555
114	0.06156	0.0254623
115	0.0621	0.0255679
116	0.06264	0.0256723
117	0.06318	0.0257757
118	0.06372	0.0258778
119	0.06426	0.0259789
120	0.0648	0.0260789
121	0.06534	0.0261778
122	0.06588	0.0262756
123	0.06642	0.0263723
124	0.06696	0.026468
125	0.0675	0.0265626
126	0.06804	0.0266562
127	0.06858	0.0267488
128	0.06912	0.0268403
129	0.06966	0.0269309
130	0.0702	0.0270205
131	0.07074	0.0271091
132	0.07128	0.0271967
133	0.07182	0.0272834
134	0.07236	0.0273691
135	0.0729	0.0274539
136	0.07344	0.0275378
137	0.07398	0.0276207
138	0.07452	0.0277028
139	0.07506	0.0277839
140	0.0756	0.0278642
141	0.07614	0.0279436
142	0.07668	0.0280221
143	0.07722	0.0280998
144	0.07776	0.0281766
145	0.0783	0.0282526
146	0.07884	0.0283278
147	0.07938	0.0284021
148	0.07992	0.0284757
149	0.08046	0.0285484
150	0.081	0.0286204
151	0.08154	0.0286916
152	0.08208	0.028762
153	0.08262	0.0288316
154	0.08316	0.0289004
155	0.0837	0.0289686
156	0.08424	0.029036
157	0.08478	0.0291026
158	0.08532	0.0291685
159	0.08586	0.0292337
160	0.0864	0.0292982
161	0.08694	0.029362
162	0.08748	0.0294252
163	0.08802	0.0294876
164	0.08856	0.0295494
165	0.0891	0.0296104
166	0.08964	0.0296709
167	0.09018	0.0297306
168	0.09072	0.0297898
169	0.09126	0.0298483
170	0.0918	0.0299061
171	0.09234	0.0299633
172	0.09288	0.0300199
173	0.09342	0.0300759
174	0.09396	0.0301313
175	0.0945	0.0301861
176	0.09504	0.0302403
177	0.09558	0.030294
178	0.09612	0.030347
179	0.09666	0.0303994
180	0.0972	0.0304513
181	0.09774	0.0305027
182	0.09828	0.0305534
183	0.09882	0.0306037
184	0.09936	0.0306534
185	0.0999	0.0307025
186	0.10044	0.0307511
187	0.10098	0.0307992
188	0.10152	0.0308468
189	0.10206	0.0308939
190	0.1026	0.0309404
191	0.10314	0.0309865
192	0.10368	0.0310321
193	0.10422	0.0310771
194	0.10476	0.0311217
195	0.1053	0.0311658
196	0.10584	0.0312094
