TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
0	0	0	0	0
1	0.00054	-2.6563e-018	8.29415e-017	8.14778e-017
2	0.00108	-0.0645766	-0.0570739	-0.063985
3	0.00162	-0.129295	-0.114388	-0.12778
4	0.00216	-0.195898	-0.169807	-0.190471
5	0.0027	-0.26248	-0.225315	-0.25292
6	0.00324	-0.329028	-0.280894	-0.315351
7	0.00378	-0.395541	-0.336546	-0.37775
8	0.00432	-0.46019	-0.394166	-0.440536
9	0.00486	-0.518983	-0.448382	-0.50342
10	0.0054	-0.556213	-0.485242	-0.56617
11	0.00594	-0.575115	-0.50491	-0.626132
12	0.00648	-0.581767	-0.514476	-0.685656
13	0.00702	-0.579028	-0.522783	-0.745713
14	0.00756	-0.592221	-0.54283	-0.769459
15	0.0081	-0.599234	-0.55831	-0.783698
16	0.00864	-0.602235	-0.571097	-0.79335
17	0.00918	-0.603448	-0.583044	-0.800742
18	0.00972	-0.603433	-0.594661	-0.806679
19	0.01026	-0.60241	-0.606188	-0.811521
20	0.0108	-0.600443	-0.617754	-0.815462
21	0.01134	-0.595658	-0.626017	-0.817624
22	0.01188	-0.588034	-0.630658	-0.818343
23	0.01242	-0.57834	-0.632763	-0.818418
24	0.01296	-0.567538	-0.633657	-0.818435
25	0.0135	-0.558328	-0.635621	-0.819478
26	0.01404	-0.551526	-0.639344	-0.822113
27	0.01458	-0.546605	-0.644158	-0.825974
28	0.01512	-0.540366	-0.644731	-0.834087
29	0.01566	-0.534509	-0.645002	-0.84179
30	0.0162	-0.530566	-0.646787	-0.847526
31	0.01674	-0.528509	-0.650085	-0.851411
32	0.01728	-0.527326	-0.653851	-0.854068
33	0.01782	-0.526024	-0.657041	-0.856084
34	0.01836	-0.524224	-0.659238	-0.857854
35	0.0189	-0.522155	-0.660652	-0.859595
36	0.01944	-0.520274	-0.661746	-0.861403
37	0.01998	-0.5189	-0.662856	-0.863304
38	0.02052	-0.518068	-0.664041	-0.865291
39	0.02106	-0.518696	-0.66401	-0.86702
40	0.0216	-0.519583	-0.6637	-0.868823
41	0.02214	-0.519271	-0.664475	-0.871059
42	0.02268	-0.518865	-0.665199	-0.873358
43	0.02322	-0.519755	-0.66451	-0.875338
44	0.02376	-0.519673	-0.66489	-0.877674
45	0.0243	-0.519613	-0.665371	-0.880048
46	0.02484	-0.519668	-0.665737	-0.882428
47	0.02538	-0.519874	-0.665971	-0.884818
48	0.02592	-0.520225	-0.666092	-0.887224
49	0.02646	-0.52071	-0.666121	-0.889651
50	0.027	-0.52132	-0.666099	-0.892097
51	0.02754	-0.522576	-0.66531	-0.888645
52	0.02808	-0.523863	-0.66446	-0.884785
53	0.02862	-0.525274	-0.663549	-0.88311
54	0.02916	-0.526797	-0.662617	-0.883281
55	0.0297	-0.528374	-0.661693	-0.884816
56	0.03024	-0.529943	-0.660791	-0.887246
57	0.03078	-0.531453	-0.659934	-0.890084
58	0.03132	-0.532887	-0.659136	-0.893016
59	0.03186	-0.534254	-0.658406	-0.895903
60	0.0324	-0.535572	-0.657743	-0.898727
61	0.03294	-0.536859	-0.657134	-0.901513
62	0.03348	-0.538126	-0.656566	-0.904297
63	0.03402	-0.53938	-0.656023	-0.907102
64	0.03456	-0.540622	-0.655496	-0.909939
65	0.0351	-0.541857	-0.654981	-0.912806
66	0.03564	-0.543089	-0.654474	-0.9157
67	0.03618	-0.544319	-0.653976	-0.918616
68	0.03672	-0.545551	-0.653486	-0.92155
69	0.03726	-0.546785	-0.653003	-0.924498
70	0.0378	-0.548019	-0.652523	-0.92746
71	0.03834	-0.549255	-0.652047	-0.930434
72	0.03888	-0.550493	-0.651573	-0.933419
73	0.03942	-0.551731	-0.651101	-0.936413
74	0.03996	-0.553182	-0.650435	-0.939663
75	0.0405	-0.554622	-0.649781	-0.94288
76	0.04104	-0.555999	-0.649184	-0.945996
77	0.04158	-0.557316	-0.64864	-0.949027
78	0.04212	-0.558595	-0.648133	-0.952013
79	0.04266	-0.559853	-0.647647	-0.954994
80	0.0432	-0.561103	-0.64717	-0.957988
81	0.04374	-0.562232	-0.646735	-0.960718
82	0.04428	-0.563363	-0.646298	-0.963414
83	0.04482	-0.564561	-0.645837	-0.966204
84	0.04536	-0.564725	-0.646315	-0.971047
85	0.0459	-0.564902	-0.646763	-0.976019
86	0.04644	-0.565389	-0.646962	-0.980333
87	0.04698	-0.566207	-0.646981	-0.983917
88	0.04752	-0.567276	-0.646893	-0.986998
89	0.04806	-0.568463	-0.646627	-0.989847
90	0.0486	-0.569678	-0.646181	-0.992646
91	0.04914	-0.570898	-0.645614	-0.995475
92	0.04968	-0.572133	-0.645004	-0.998345
93	0.05022	-0.573394	-0.644405	-1.00124
94	0.05076	-0.574677	-0.643834	-1.00413
95	0.0513	-0.575962	-0.643283	-1.00701
96	0.05184	-0.577232	-0.642732	-1.00988
97	0.05238	-0.57848	-0.64217	-1.01272
98	0.05292	-0.579708	-0.641597	-1.01555
99	0.05346	-0.580924	-0.641018	-1.01837
100	0.054	-0.582135	-0.640439	-1.02117
101	0.05454	-0.583343	-0.639861	-1.02396
102	0.05508	-0.584545	-0.639282	-1.02673
103	0.05562	-0.585738	-0.6387	-1.02949
104	0.05616	-0.586919	-0.638112	-1.03223
105	0.0567	-0.58809	-0.637518	-1.03495
106	0.05724	-0.58925	-0.636919	-1.03765
107	0.05778	-0.5904	-0.636315	-1.04033
108	0.05832	-0.591542	-0.635708	-1.04299
109	0.05886	-0.592674	-0.635095	-1.04564
110	0.0594	-0.593795	-0.634478	-1.04826
111	0.05994	-0.594906	-0.633855	-1.05086
112	0.06048	-0.596005	-0.633226	-1.05343
113	0.06102	-0.597094	-0.632591	-1.05599
114	0.06156	-0.598173	-0.631948	-1.05852
115	0.0621	-0.599046	-0.631491	-1.06131
116	0.06264	-0.599917	-0.631019	-1.06406
117	0.06318	-0.600848	-0.630468	-1.06666
118	0.06372	-0.60184	-0.629839	-1.06914
119	0.06426	-0.602872	-0.629153	-1.07152
120	0.0648	-0.603921	-0.628432	-1.07383
121	0.06534	-0.604971	-0.627692	-1.07611
122	0.06588	-0.606011	-0.626943	-1.07836
123	0.06642	-0.607038	-0.626188	-1.08059
124	0.06696	-0.60805	-0.625429	-1.0828
125	0.0675	-0.609047	-0.624664	-1.08499
126	0.06804	-0.61003	-0.623893	-1.08714
127	0.06858	-0.611	-0.623114	-1.08928
128	0.06912	-0.610742	-0.623428	-1.09033
129	0.06966	-0.610108	-0.624115	-1.09145
130	0.0702	-0.610346	-0.623956	-1.09317
131	0.07074	-0.611321	-0.623092	-1.09542
132	0.07128	-0.612283	-0.62226	-1.09776
133	0.07182	-0.613534	-0.621103	-1.1001
134	0.07236	-0.614739	-0.619944	-1.1023
135	0.0729	-0.615762	-0.61893	-1.10431
136	0.07344	-0.616625	-0.618054	-1.1062
137	0.07398	-0.61704	-0.617629	-1.10795
138	0.07452	-0.617815	-0.616817	-1.1098
139	0.07506	-0.618406	-0.616173	-1.11163
140	0.0756	-0.619388	-0.615101	-1.11356
141	0.07614	-0.620464	-0.613906	-1.11548
142	0.07668	-0.621451	-0.612781	-1.11733
143	0.07722	-0.621906	-0.61219	-1.11899
144	0.07776	-0.622654	-0.611277	-1.12068
145	0.0783	-0.623138	-0.610612	-1.12232
146	0.07884	-0.624019	-0.609509	-1.12404
147	0.07938	-0.624609	-0.608681	-1.12568
148	0.07992	-0.625529	-0.607493	-1.12737
149	0.08046	-0.626091	-0.606656	-1.12893
150	0.081	-0.626961	-0.60548	-1.13053
151	0.08154	-0.627889	-0.604224	-1.13212
152	0.08208	-0.628727	-0.603038	-1.13365
153	0.08262	-0.629445	-0.601955	-1.13511
154	0.08316	-0.630079	-0.600938	-1.13653
155	0.0837	-0.630679	-0.599933	-1.13792
156	0.08424	-0.630828	-0.59937	-1.13921
157	0.08478	-0.631439	-0.598309	-1.1406
158	0.08532	-0.632262	-0.597003	-1.14205
159	0.08586	-0.63308	-0.595681	-1.14346
160	0.0864	-0.633793	-0.594452	-1.14479
161	0.08694	-0.633931	-0.593799	-1.14595
162	0.08748	-0.634001	-0.593198	-1.14708
163	0.08802	-0.634271	-0.592362	-1.14826
164	0.08856	-0.634773	-0.591261	-1.14952
165	0.0891	-0.635859	-0.589536	-1.1509
166	0.08964	-0.636505	-0.588248	-1.15212
167	0.09018	-0.636883	-0.587227	-1.15321
168	0.09072	-0.637198	-0.586254	-1.15424
169	0.09126	-0.637577	-0.585193	-1.15529
170	0.0918	-0.638047	-0.584013	-1.15636
171	0.09234	-0.638573	-0.582753	-1.15745
172	0.09288	-0.639107	-0.581466	-1.15852
173	0.09342	-0.63962	-0.580186	-1.15955
174	0.09396	-0.640103	-0.578921	-1.16054
175	0.0945	-0.640565	-0.577661	-1.16151
176	0.09504	-0.641015	-0.576394	-1.16245
177	0.09558	-0.641462	-0.575112	-1.16338
178	0.09612	-0.641908	-0.573811	-1.1643
179	0.09666	-0.642352	-0.572497	-1.16521
180	0.0972	-0.642791	-0.571171	-1.1661
181	0.09774	-0.643224	-0.569835	-1.16697
182	0.09828	-0.643651	-0.568491	-1.16782
183	0.09882	-0.644071	-0.567136	-1.16866
184	0.09936	-0.644485	-0.565772	-1.16948
185	0.0999	-0.644895	-0.564396	-1.17029
186	0.10044	-0.645301	-0.56301	-1.17109
187	0.10098	-0.645703	-0.561612	-1.17187
188	0.10152	-0.646006	-0.560305	-1.17275
189	0.10206	-0.646306	-0.558987	-1.17364
190	0.1026	-0.646645	-0.557612	-1.17447
191	0.10314	-0.647021	-0.556182	-1.17524
192	0.10368	-0.647417	-0.554718	-1.17597
193	0.10422	-0.647812	-0.553244	-1.17668
194	0.10476	-0.648197	-0.551768	-1.17737
195	0.1053	-0.648571	-0.550292	-1.17805
196	0.10584	-0.648939	-0.54881	-1.17872
197	0.10638	-0.649303	-0.547319	-1.17939
198	0.10692	-0.649667	-0.545816	-1.18006
199	0.10746	-0.650031	-0.544302	-1.18072
200	0.108	-0.650394	-0.542777	-1.18136
201	0.10854	-0.650756	-0.541243	-1.18201
202	0.10908	-0.651117	-0.539701	-1.18264
203	0.10962	-0.651477	-0.538149	-1.18326
204	0.11016	-0.651835	-0.536589	-1.18388
205	0.1107	-0.652194	-0.535019	-1.1845
206	0.11124	-0.652551	-0.53344	-1.18511
207	0.11178	-0.652909	-0.531853	-1.18571
208	0.11232	-0.653267	-0.530257	-1.18631
209	0.11286	-0.653625	-0.528653	-1.18691
210	0.1134	-0.653982	-0.52704	-1.1875
211	0.11394	-0.65434	-0.52542	-1.18809
212	0.11448	-0.654698	-0.523792	-1.18867
213	0.11502	-0.655057	-0.522156	-1.18926
214	0.11556	-0.655417	-0.520512	-1.18984
215	0.1161	-0.655778	-0.518861	-1.19042
216	0.11664	-0.65614	-0.517202	-1.191
217	0.11718	-0.656503	-0.515535	-1.19158
218	0.11772	-0.656868	-0.513862	-1.19215
219	0.11826	-0.657235	-0.512181	-1.19273
220	0.1188	-0.657604	-0.510493	-1.19331
221	0.11934	-0.657974	-0.508798	-1.19389
222	0.11988	-0.658347	-0.507096	-1.19446
223	0.12042	-0.658721	-0.505387	-1.19504
224	0.12096	-0.659098	-0.503673	-1.19562
225	0.1215	-0.659478	-0.501951	-1.1962
226	0.12204	-0.65986	-0.500224	-1.19679
227	0.12258	-0.660244	-0.498491	-1.19737
228	0.12312	-0.660631	-0.496751	-1.19796
229	0.12366	-0.661022	-0.495006	-1.19855
230	0.1242	-0.661415	-0.493255	-1.19914
231	0.12474	-0.661811	-0.491499	-1.19974
232	0.12528	-0.66221	-0.489737	-1.20034
233	0.12582	-0.662613	-0.487969	-1.20094
234	0.12636	-0.663019	-0.486197	-1.20155
235	0.1269	-0.663428	-0.48442	-1.20216
236	0.12744	-0.663841	-0.482637	-1.20277
237	0.12798	-0.664258	-0.48085	-1.20339
238	0.12852	-0.664678	-0.479059	-1.20402
239	0.12906	-0.665102	-0.477263	-1.20464
240	0.1296	-0.665529	-0.475462	-1.20527
241	0.13014	-0.665961	-0.473657	-1.20591
242	0.13068	-0.666396	-0.471849	-1.20655
243	0.13122	-0.666835	-0.470036	-1.2072
244	0.13176	-0.667279	-0.468219	-1.20785
245	0.1323	-0.667726	-0.466399	-1.2085
246	0.13284	-0.668178	-0.464575	-1.20916
247	0.13338	-0.668633	-0.462747	-1.20983
248	0.13392	-0.669094	-0.460916	-1.2105
249	0.13446	-0.669559	-0.45908	-1.21118
250	0.135	-0.670031	-0.45724	-1.21186
251	0.13554	-0.670507	-0.455396	-1.21255
252	0.13608	-0.670987	-0.453549	-1.21324
253	0.13662	-0.671472	-0.4517	-1.21394
254	0.13716	-0.67196	-0.449848	-1.21464
255	0.1377	-0.672453	-0.447994	-1.21534
256	0.13824	-0.67295	-0.446138	-1.21606
257	0.13878	-0.673451	-0.444279	-1.21677
258	0.13932	-0.673957	-0.442417	-1.21749
259	0.13986	-0.674467	-0.440554	-1.21822
260	0.1404	-0.674982	-0.438688	-1.21895
261	0.14094	-0.675501	-0.43682	-1.21969
262	0.14148	-0.676024	-0.434951	-1.22043
263	0.14202	-0.67622	-0.433408	-1.22154
264	0.14256	-0.67642	-0.431864	-1.22265
265	0.1431	-0.676768	-0.430176	-1.22366
266	0.14364	-0.677265	-0.428343	-1.22455
267	0.14418	-0.677847	-0.426428	-1.22536
268	0.14472	-0.678449	-0.424496	-1.22613
269	0.14526	-0.679036	-0.422582	-1.22687
270	0.1458	-0.679602	-0.420692	-1.22762
271	0.14634	-0.680156	-0.418816	-1.22837
272	0.14688	-0.680712	-0.416943	-1.22914
273	0.14742	-0.681274	-0.415065	-1.22991
274	0.14796	-0.681846	-0.413181	-1.2307
275	0.1485	-0.682425	-0.411294	-1.23149
276	0.14904	-0.683008	-0.409405	-1.23228
277	0.14958	-0.683593	-0.407517	-1.23307
278	0.15012	-0.684181	-0.405629	-1.23386
279	0.15066	-0.684773	-0.403741	-1.23465
280	0.1512	-0.685367	-0.401853	-1.23544
281	0.15174	-0.685966	-0.399964	-1.23623
282	0.15228	-0.686568	-0.398075	-1.23702
283	0.15282	-0.687174	-0.396185	-1.23782
284	0.15336	-0.687784	-0.394295	-1.23861
285	0.1539	-0.688396	-0.392405	-1.2394
286	0.15444	-0.689012	-0.390515	-1.2402
287	0.15498	-0.68963	-0.388625	-1.24099
288	0.15552	-0.690252	-0.386734	-1.24178
289	0.15606	-0.690877	-0.384844	-1.24256
290	0.1566	-0.691504	-0.382954	-1.24335
291	0.15714	-0.692135	-0.381064	-1.24413
292	0.15768	-0.692768	-0.379174	-1.24491
293	0.15822	-0.693403	-0.377284	-1.24569
294	0.15876	-0.694042	-0.375394	-1.24646
295	0.1593	-0.694682	-0.373505	-1.24724
296	0.15984	-0.695325	-0.371616	-1.248
297	0.16038	-0.695971	-0.369727	-1.24876
298	0.16092	-0.696618	-0.367839	-1.24952
299	0.16146	-0.697268	-0.36595	-1.25027
300	0.162	-0.69792	-0.364063	-1.25102
301	0.16254	-0.698627	-0.362119	-1.25169
302	0.16308	-0.699335	-0.360177	-1.25236
303	0.16362	-0.701207	-0.357172	-1.25244
304	0.16416	-0.703022	-0.354229	-1.25263
305	0.1647	-0.704149	-0.351916	-1.25309
306	0.16524	-0.704621	-0.3502	-1.25378
307	0.16578	-0.704826	-0.348729	-1.25457
308	0.16632	-0.705137	-0.347166	-1.25537
309	0.16686	-0.704718	-0.346455	-1.25684
310	0.1674	-0.705511	-0.344459	-1.25736
311	0.16794	-0.705693	-0.342963	-1.25848
312	0.16848	-0.707016	-0.340378	-1.25871
313	0.16902	-0.707386	-0.338748	-1.25969
314	0.16956	-0.708611	-0.336354	-1.2599
315	0.1701	-0.708797	-0.334969	-1.26088
316	0.17064	-0.709871	-0.332732	-1.26112
317	0.17118	-0.711182	-0.330253	-1.26138
318	0.17172	-0.712263	-0.327978	-1.2618
319	0.17226	-0.712006	-0.327107	-1.26304
320	0.1728	-0.711499	-0.326417	-1.26416
321	0.17334	-0.711463	-0.325202	-1.265
322	0.17388	-0.713152	-0.322236	-1.26504
323	0.17442	-0.714007	-0.320074	-1.26573
324	0.17496	-0.712781	-0.32009	-1.26665
325	0.1755	-0.712994	-0.318678	-1.26718
326	0.17604	-0.712741	-0.317844	-1.26789
327	0.17658	-0.712713	-0.316794	-1.26853
328	0.17712	-0.714501	-0.313862	-1.26841
329	0.17766	-0.715327	-0.311714	-1.26921
330	0.1782	-0.716851	-0.308936	-1.26917
331	0.17874	-0.718344	-0.30626	-1.26891
332	0.17928	-0.717854	-0.3055	-1.26998
333	0.17982	-0.718252	-0.303937	-1.27008
334	0.18036	-0.719413	-0.30164	-1.26998
335	0.1809	-0.72073	-0.299161	-1.26997
336	0.18144	-0.721741	-0.296947	-1.27016
337	0.18198	-0.720794	-0.296567	-1.27172
338	0.18252	-0.721119	-0.295009	-1.2719
339	0.18306	-0.722478	-0.292489	-1.27171
340	0.1836	-0.72235	-0.29137	-1.27292
341	0.18414	-0.721859	-0.290723	-1.27403
342	0.18468	-0.72178	-0.289682	-1.27478
343	0.18522	-0.723989	-0.286272	-1.27427
344	0.18576	-0.726702	-0.2823	-1.27324
345	0.1863	-0.728465	-0.27927	-1.2725
346	0.18684	-0.727217	-0.27918	-1.27369
347	0.18738	-0.727106	-0.278213	-1.27375
348	0.18792	-0.726243	-0.277837	-1.27491
349	0.18846	-0.725838	-0.277049	-1.27586
350	0.189	-0.728078	-0.27359	-1.27534
351	0.18954	-0.731009	-0.269418	-1.27414
352	0.19008	-0.730972	-0.268109	-1.27484
353	0.19062	-0.729688	-0.268119	-1.27569
354	0.19116	-0.728747	-0.26793	-1.2763
355	0.1917	-0.728762	-0.266721	-1.27661
356	0.19224	-0.731724	-0.262552	-1.27547
357	0.19278	-0.735091	-0.257869	-1.27366
358	0.19332	-0.734994	-0.256716	-1.27407
359	0.19386	-0.733368	-0.257039	-1.27502
360	0.1944	-0.732104	-0.257054	-1.27579
361	0.19494	-0.733914	-0.253974	-1.27479
362	0.19548	-0.73474	-0.25187	-1.27498
363	0.19602	-0.736828	-0.248524	-1.27402
364	0.19656	-0.736852	-0.247296	-1.27426
365	0.1971	-0.736123	-0.246929	-1.27471
366	0.19764	-0.737349	-0.244428	-1.27377
367	0.19818	-0.739315	-0.241087	-1.27254
368	0.19872	-0.739187	-0.239981	-1.27284
369	0.19926	-0.73829	-0.239725	-1.27343
370	0.1998	-0.739294	-0.237401	-1.2727
371	0.20034	-0.739393	-0.235908	-1.27287
372	0.20088	-0.740904	-0.233034	-1.27196
373	0.20142	-0.742647	-0.23	-1.27083
374	0.20196	-0.743774	-0.227634	-1.26992
375	0.2025	-0.74415	-0.22603	-1.26932
376	0.20304	-0.744176	-0.224789	-1.26892
377	0.20358	-0.74423	-0.22346	-1.2686
378	0.20412	-0.743233	-0.223262	-1.26915
379	0.20466	-0.742478	-0.222816	-1.26962
380	0.2052	-0.742466	-0.221509	-1.26981
381	0.20574	-0.74304	-0.219474	-1.26981
382	0.20628	-0.743877	-0.217189	-1.26967
383	0.20682	-0.744665	-0.215053	-1.26939
384	0.20736	-0.745254	-0.213205	-1.26892
385	0.2079	-0.745669	-0.211561	-1.26827
386	0.20844	-0.747382	-0.20859	-1.26619
387	0.20898	-0.747759	-0.20691	-1.26542
388	0.20952	-0.747623	-0.205866	-1.26515
389	0.21006	-0.747529	-0.204771	-1.26488
390	0.2106	-0.747605	-0.203279	-1.26446
391	0.21114	-0.74796	-0.201429	-1.26388
392	0.21168	-0.749754	-0.198201	-1.26195
393	0.21222	-0.750358	-0.19627	-1.26112
394	0.21276	-0.751399	-0.193974	-1.25955
395	0.2133	-0.751337	-0.192922	-1.25906
396	0.21384	-0.7519	-0.191069	-1.25777
397	0.21438	-0.75272	-0.188831	-1.25633
398	0.21492	-0.75253	-0.187728	-1.25608
399	0.21546	-0.753011	-0.185866	-1.25503
400	0.216	-0.752929	-0.184688	-1.25474
401	0.21654	-0.752814	-0.183581	-1.25446
402	0.21708	-0.752845	-0.182179	-1.25395
403	0.21762	-0.753092	-0.180452	-1.25317
404	0.21816	-0.753524	-0.178562	-1.25222
405	0.2187	-0.754033	-0.176684	-1.25116
406	0.21924	-0.754522	-0.174903	-1.25005
407	0.21978	-0.754945	-0.17321	-1.24893
408	0.22032	-0.755309	-0.17155	-1.2478
409	0.22086	-0.755647	-0.169878	-1.24667
410	0.2214	-0.755988	-0.16818	-1.24555
411	0.22194	-0.756344	-0.166466	-1.24442
412	0.22248	-0.756712	-0.164754	-1.24327
413	0.22302	-0.758748	-0.16132	-1.24163
414	0.22356	-0.760817	-0.157859	-1.23989
415	0.2241	-0.760462	-0.157023	-1.23866
416	0.22464	-0.760959	-0.155212	-1.23707
417	0.22518	-0.761809	-0.15296	-1.23543
418	0.22572	-0.765011	-0.148396	-1.23192
419	0.22626	-0.766461	-0.145736	-1.22833
420	0.2268	-0.766262	-0.144745	-1.22567
421	0.22734	-0.765392	-0.144353	-1.22398
422	0.22788	-0.762985	-0.145278	-1.22449
423	0.22842	-0.763117	-0.143759	-1.22372
424	0.22896	-0.764956	-0.140626	-1.22194
425	0.2295	-0.764836	-0.139344	-1.22174
426	0.23004	-0.763923	-0.138954	-1.2217
427	0.23058	-0.763243	-0.138374	-1.22134
428	0.23112	-0.763211	-0.13711	-1.22047
429	0.23166	-0.763633	-0.135268	-1.2192
430	0.2322	-0.764236	-0.133231	-1.21771
431	0.23274	-0.76477	-0.131329	-1.21615
432	0.23328	-0.765135	-0.129672	-1.21458
433	0.23382	-0.765366	-0.128185	-1.21304
434	0.23436	-0.765555	-0.126734	-1.21153
435	0.2349	-0.765773	-0.125225	-1.21005
436	0.23544	-0.76604	-0.123644	-1.20857
437	0.23598	-0.766339	-0.122028	-1.20709
438	0.23652	-0.76664	-0.120423	-1.20559
439	0.23706	-0.766922	-0.118854	-1.20407
440	0.2376	-0.767182	-0.117318	-1.20253
441	0.23814	-0.767428	-0.115798	-1.20098
442	0.23868	-0.76767	-0.114282	-1.19942
443	0.23922	-0.767914	-0.112763	-1.19786
444	0.23976	-0.768159	-0.111245	-1.19629
445	0.2403	-0.768402	-0.109734	-1.19472
446	0.24084	-0.768641	-0.108235	-1.19313
447	0.24138	-0.768874	-0.106748	-1.19154
448	0.24192	-0.7691	-0.105271	-1.18994
449	0.24246	-0.769322	-0.103804	-1.18833
450	0.243	-0.769541	-0.102344	-1.18672
451	0.24354	-0.769756	-0.100892	-1.1851
452	0.24408	-0.769967	-0.0994491	-1.18347
453	0.24462	-0.770175	-0.0980157	-1.18184
454	0.24516	-0.770379	-0.0965923	-1.1802
455	0.2457	-0.770578	-0.0951789	-1.17855
456	0.24624	-0.770773	-0.0937753	-1.1769
457	0.24678	-0.770965	-0.0923815	-1.17524
458	0.24732	-0.771152	-0.0909974	-1.17358
459	0.24786	-0.771336	-0.0896234	-1.17191
460	0.2484	-0.771516	-0.0882596	-1.17023
461	0.24894	-0.771692	-0.0869062	-1.16855
462	0.24948	-0.771865	-0.0855632	-1.16687
463	0.25002	-0.772033	-0.0842309	-1.16518
464	0.25056	-0.772198	-0.0829092	-1.16348
465	0.2511	-0.772359	-0.0815982	-1.16178
466	0.25164	-0.772517	-0.0802981	-1.16008
467	0.25218	-0.77267	-0.079009	-1.15837
468	0.25272	-0.772821	-0.0777309	-1.15666
469	0.25326	-0.775745	-0.0737569	-1.15222
470	0.2538	-0.778669	-0.0697908	-1.14772
471	0.25434	-0.77992	-0.0674607	-1.14435
472	0.25488	-0.779583	-0.0667674	-1.14215
473	0.25542	-0.778578	-0.06673	-1.14064
474	0.25596	-0.777852	-0.0663886	-1.13933
475	0.2565	-0.777802	-0.0653526	-1.13794
476	0.25704	-0.778166	-0.0638128	-1.13637
477	0.25758	-0.778626	-0.0621939	-1.13466
478	0.25812	-0.778931	-0.0608056	-1.13287
479	0.25866	-0.779024	-0.0597017	-1.13107
480	0.2592	-0.779032	-0.0587509	-1.12928
481	0.25974	-0.779041	-0.0577892	-1.12752
482	0.26028	-0.779077	-0.056732	-1.12577
483	0.26082	-0.779154	-0.0555935	-1.12403
484	0.26136	-0.779264	-0.054439	-1.12228
485	0.2619	-0.779379	-0.0533251	-1.12052
486	0.26244	-0.779478	-0.0522688	-1.11876
487	0.26298	-0.779557	-0.0512534	-1.11699
488	0.26352	-0.779623	-0.0502518	-1.11522
489	0.26406	-0.779686	-0.0492471	-1.11345
490	0.2646	-0.779754	-0.0482389	-1.11167
491	0.26514	-0.779824	-0.0472368	-1.10989
492	0.26568	-0.779895	-0.046251	-1.10811
493	0.26622	-0.779962	-0.0452855	-1.10632
494	0.26676	-0.780024	-0.0443385	-1.10454
495	0.2673	-0.78008	-0.0434057	-1.10275
496	0.26784	-0.780135	-0.0424841	-1.10095
497	0.26838	-0.780188	-0.041573	-1.09916
498	0.26892	-0.780239	-0.0406738	-1.09736
499	0.26946	-0.78029	-0.0397883	-1.09555
500	0.27	-0.780338	-0.0389175	-1.09375
501	0.27054	-0.780383	-0.0380612	-1.09194
502	0.27108	-0.780427	-0.0372187	-1.09013
