TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0.0202112	0.0148509	0.0279717	0.0450136	0.0433706	0.0418116	0.0680352	0.0644688	0.0617669	0.0143217	0.0197742	0.0183856	0.0215563	0.0198207	0.0287674	0.0326093	0.021736	0.0517064	0.0491716	0.0110491	0.0158125	0.0209029	0.0514593	0.00941925	0.0514152	0.0227785	0.0178965	0.0451153	0.0349926	0.0476019	0.0400887	0.0413612	0.0266319	0.0470203	0.0475837	0.0356948	0.0411945	0.0396329
1	0.00054	0.0207195	0.0148509	0.0282157	0.0452615	0.0433706	0.0418116	0.0696475	0.0647443	0.0617669	0.0143139	0.0197742	0.0183856	0.0216898	0.0198207	0.0287674	0.0327294	0.021736	0.05016	0.0491716	0.0110491	0.0157617	0.0209029	0.0532685	0.00941925	0.0498695	0.0225808	0.0178706	0.0451153	0.0354857	0.0476019	0.0400887	0.0398369	0.0266319	0.0470203	0.0477689	0.0356948	0.0411945	0.0385914
2	0.00108	0.0212425	0.015071	0.0284969	0.0455174	0.043431	0.0420961	0.069449	0.0649609	0.0619505	0.0143095	0.0194799	0.0180723	0.021838	0.0198958	0.0289841	0.0328622	0.0215328	0.0501439	0.0492709	0.0110552	0.0157096	0.0212353	0.0534691	0.00956284	0.049823	0.0223784	0.0178461	0.0450195	0.0359807	0.0476808	0.0402193	0.0400009	0.0259412	0.0468734	0.0479545	0.0358278	0.0413204	0.0386945
3	0.00162	0.0217748	0.0153114	0.0288119	0.0457787	0.0434933	0.0423791	0.0692302	0.0651715	0.0621332	0.0143086	0.0191815	0.0177539	0.0219992	0.019984	0.0292339	0.0330062	0.0213283	0.0501311	0.0493668	0.0110654	0.0156566	0.0215796	0.0536562	0.00972343	0.0497795	0.0221729	0.017823	0.0449237	0.0364732	0.047747	0.0403404	0.0401776	0.0252328	0.0467202	0.048139	0.0359619	0.0414459	0.0388016
4	0.00216	0.0223143	0.015569	0.0291587	0.0460444	0.0435566	0.0426577	0.0690024	0.0653762	0.0623137	0.0143113	0.0188813	0.0174328	0.0221729	0.0200845	0.0295138	0.0331608	0.0211244	0.0501123	0.0494584	0.0110798	0.0156027	0.0219323	0.0538394	0.00989897	0.0497301	0.0219645	0.0178015	0.0448285	0.0369617	0.0477997	0.0404506	0.0403568	0.0245117	0.0465615	0.0483219	0.0360957	0.0415699	0.0389076
5	0.0027	0.0228589	0.0158425	0.0295351	0.0463138	0.0436206	0.0429314	0.0687658	0.0655748	0.0624918	0.0143174	0.0185803	0.0171101	0.0223582	0.0201968	0.0298223	0.0333255	0.0209215	0.0500878	0.0495454	0.0110981	0.0155483	0.0222921	0.0540185	0.0100882	0.0496752	0.0217537	0.0177817	0.0447344	0.037445	0.0478386	0.0405496	0.0405384	0.023779	0.0463975	0.048503	0.036229	0.041692	0.0390121
6	0.00324	0.0234067	0.01613	0.029939	0.0465859	0.0436852	0.0431995	0.0685205	0.0657668	0.0626672	0.014327	0.0182792	0.0167865	0.0225542	0.0203204	0.0301575	0.0334996	0.0207205	0.050058	0.0496277	0.0111203	0.0154933	0.0226575	0.0541934	0.0102899	0.049615	0.0215409	0.0177636	0.0446418	0.0379219	0.0478638	0.0406374	0.0407221	0.0230357	0.0462284	0.048682	0.0363614	0.041812	0.0391151
7	0.00378	0.023956	0.0164302	0.0303682	0.04686	0.0437502	0.0434613	0.0682668	0.0659519	0.0628398	0.0143401	0.0179791	0.0164629	0.0227603	0.0204548	0.0305177	0.0336824	0.020522	0.0500231	0.0497051	0.0111464	0.015438	0.0230273	0.054364	0.0105027	0.0495501	0.0213266	0.0177472	0.0445512	0.0383914	0.0478752	0.0407137	0.040908	0.0222832	0.0460542	0.0488586	0.0364924	0.0419298	0.0392163
8	0.00432	0.0245051	0.0167414	0.0308431	0.0471565	0.0438155	0.0437163	0.0680051	0.0660591	0.0630092	0.0143565	0.0176808	0.0161404	0.0229755	0.0205993	0.0309008	0.0339171	0.0203265	0.0500009	0.0497775	0.0111762	0.0153826	0.0234002	0.0545268	0.0107254	0.0495004	0.0211273	0.0177326	0.044463	0.0388708	0.0478728	0.0407783	0.04112	0.0215228	0.0458751	0.0490331	0.0366219	0.0420451	0.0393101
9	0.00486	0.0250525	0.0170622	0.0314325	0.047539	0.0439253	0.0439638	0.0677454	0.0660451	0.0631762	0.0143761	0.0173853	0.0158199	0.023199	0.0207534	0.0313351	0.0343462	0.0201349	0.0500589	0.0498524	0.0112095	0.015327	0.0237749	0.0547012	0.0109567	0.049541	0.0210013	0.0177199	0.0443698	0.0394172	0.0479066	0.0408807	0.0414229	0.0207559	0.0456927	0.0492122	0.036742	0.0421515	0.0393809
