TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0.00010523	0.00217011	2.14744e-005	0.000355159	0.000120221	0.000262749	0.0382271	0.0588347	0.000370834	0.00651669	0.001914	0.00213064	0.00605004	0.000442848	0.000467403	7.17891e-006	0.144137	0.000812088	0	6.54548e-006	0.000352767	0.000887242	0.023209	0.000408486	0	0.0028562	0.00209321	0.0124987	5.63232e-005	8.61377e-005	8.57186e-005	0.0247051	2.67593e-005	1.00707	0.0347423	0.189125	0.025209	0.0597436
1	0.00054	0.00210314	0.00430189	0.000617603	0.00413362	0.00024004	0.000524387	0.351399	2.55331	0.000737643	0.00900919	0.00380086	0.00423462	0.0379889	0.000884902	0.000929564	0.000223782	0.274131	0	0	1.30877e-005	0	0.00176685	1.4665	0.000815462	0	0	0	0.0247919	0.0017173	0.000172084	0.000171071	0	5.34743e-005	1.85696	0.261077	0.350402	0.0499185	0
2	0.00108	0.00415526	0.0362827	0.00130136	0.00801919	0.00277703	0.00373397	0.352187	4.27026	0.00161448	0.0132023	0	0	0.0726273	0.00544242	0.00275062	0.000462468	0.296922	0	0.318058	4.13073e-005	0	0.0647362	1.62914	0.0158258	0	0	0	0.00409714	0.00338431	0.000649308	0.000543048	0	0	0.332956	0.486083	2.21929	0.419795	0
3	0.00162	0.00624144	0.0708263	0.00206457	0.0119754	0.00538262	0.00692496	0.348717	5.75816	0.00248503	0.0190982	0	0	0.109675	0.0107158	0.00477486	0.000720639	0.310934	0	0.383584	8.41194e-005	0	0.129748	1.77915	0.0325502	0	0	0	0	0.00504227	0.00106349	0.000893624	0	0	0	0.708176	3.8421	0.782255	0
4	0.00216	0.00835363	0.107527	0.00290254	0.0159903	0.00802385	0.0100704	0.342954	7.04263	0.00334545	0.0266856	0	0	0.148984	0.0166604	0.00698347	0.000997299	0.317847	0	0.385495	0.000141329	0	0.196158	1.92424	0.0507802	0	0	0	0	0.00668695	0.00140997	0.00121978	0	0	0	0.927009	5.2383	1.13425	0
5	0.0027	0.0104843	0.146163	0.0038103	0.0200519	0.0106932	0.0131632	0.334957	8.14085	0.00419509	0.035948	0	0	0.190397	0.0232507	0.0093661	0.00129144	0.318663	0	0.371349	0.000212693	0	0.263698	2.06437	0.0703858	0	0	0	0	0.00831433	0.00168826	0.00152103	0	0	0	1.14229	6.4361	1.47532	0
6	0.00324	0.0126263	0.186513	0.0047827	0.0241486	0.0133834	0.0161965	0.3248	9.06902	0.00503342	0.0468607	0	0	0.233752	0.0304583	0.0119117	0.00160198	0.314315	0	0.352787	0.000297932	0	0.332114	2.19947	0.0912364	0	0	0	0	0.00992055	0.00189803	0.00179696	0	0	0	1.35374	7.46014	1.80504	0
7	0.00378	0.0147732	0.22836	0.00581445	0.0282688	0.016087	0.0191637	0.31254	9.84199	0.00585989	0.0593932	0	0	0.278883	0.0382534	0.0146088	0.0019278	0.305665	0	0.332626	0.000396705	0	0.401156	2.3295	0.113202	0	0	0	0	0.011502	0.00203912	0.00204718	0	0	0	1.56111	8.33157	2.12304	0
8	0.00432	0.0169188	0.271491	0.00695372	0.0326958	0.0187969	0.0220586	0.29825	9.84528	0.00667391	0.0735105	0	0	0.325621	0.0466029	0.0174454	0.00234393	0.293519	0	0.31176	0.000508604	0	0.47059	2.45188	0.136153	0	0	0	0	0.0131153	0.00211148	0.0022714	1.58676	0	0	1.76479	9.06861	2.42901	0
9	0.00486	0.0190573	0.315702	0.00836268	0.0383078	0.0232855	0.0248751	0.283719	8.77424	0.00747709	0.0891716	0	0	0.373795	0.0554732	0.0205985	0.00309897	0.278626	0	0.314802	0.000633202	0	0.540189	2.58186	0.159967	0.144492	0	0	0	0.0149463	0.00236356	0.00257816	2.13	0	0	1.97173	9.58926	2.70564	0.0933126
10	0.0054	0.0211835	0.360793	0.00999873	0.0448509	0.035225	0.0276075	0.276285	9.60045	0.0082897	0.106328	0	0	0.423233	0.0648284	0.0246606	0.0041556	0.261685	0	0.435205	0.000770004	0	0.609737	2.74549	0.184521	1.47694	0	0	0	0.0169527	0.00362345	0.00332859	2.13	0	0	2.18927	9.63873	2.90377	0.551521
11	0.00594	0.0232923	0.406577	0.0117769	0.0518795	0.0535813	0.0302507	0.27735	11.391	0.00913138	0.124928	0	0	0.473766	0.0746321	0.0295075	0.00540245	0.24335	0	0.624856	0.000918488	0	0.679029	2.91024	0.209701	2.63795	0	0	0	0.019045	0.00579456	0.00447827	2.13	0	0	2.41681	9.3764	3.04041	0.904384
12	0.00648	0.0253024	0.452873	0.0135537	0.0587576	0.075792	0.0327993	0.273764	12.8525	0.00999946	0.144024	0	0	0.523531	0.0848468	0.0348498	0.00668669	0.224229	0	0.838517	0.00107809	0	0.747869	2.99392	0.235397	3.90436	0	0	0	0.0210671	0.00852479	0.00587247	2.13	0	0	2.64563	8.9805	3.13998	1.54767
13	0.00702	0.0266446	0.49765	0.0147439	0.0632948	0.09866	0.0351584	0.19251	12.2136	0.0108695	0.15724	0	0	0.559023	0.0950767	0.0402326	0.00754978	0.208043	0.00350647	0.989919	0.00124074	0	0.813396	2.62084	0.260578	8.05452	0	0	0	0.0223891	0.0113744	0.00731296	2.13	0	0	2.82959	8.52238	3.21199	5.0104
14	0.00756	0.0273687	0.526841	0.0153625	0.0657071	0.113799	0.0367028	0.112228	11.5515	0.0116189	0.165575	0	0	0.579628	0.102388	0.0439599	0.00799661	0.217251	0.0159769	0.904647	0.00134895	0	0.855634	2.2804	0.277906	8.42	0	0	0	0.0230746	0.0132911	0.0082945	2.13	0	0	2.95839	7.82334	3.22107	8.36849
15	0.0081	0.0276898	0.541239	0.0155991	0.066755	0.12151	0.0375663	0.0625717	11.0214	0.0122239	0.171302	0	0	0.589744	0.106506	0.0460589	0.00816366	0.246941	0.0245202	0.720662	0.00140493	0	0.876215	2.08699	0.28714	6.79569	0	0	0	0.02335	0.0143076	0.00883271	2.13	0	0	3.04721	7.04552	3.19606	10.4937
16	0.00864	0.0278018	0.545924	0.0156337	0.0670917	0.124301	0.0380167	0.0439054	10.427	0.0127253	0.175888	0	0	0.594185	0.108322	0.0470627	0.00818124	0.287195	0.0295361	0.56303	0.00142809	0	0.882663	2.01075	0.290705	4.40811	0	0	0	0.0234122	0.0147278	0.00907664	2.13	0	0	3.10966	6.32315	3.16211	11.3808
17	0.00918	0.0278315	0.545587	0.0155865	0.0671371	0.124466	0.0382614	0.0467875	9.7357	0.0131585	0.180049	0	0	0.596342	0.108881	0.0474834	0.00813684	0.330441	0.0321953	0.454733	0.00143495	0	0.881804	1.99921	0.291219	2.4282	0	0	0	0.0233882	0.0148289	0.00916316	2.13	0	0	3.15483	5.69969	3.12864	11.4376
18	0.00972	0.0278448	0.543295	0.0155215	0.0671129	0.123526	0.0384261	0.0616413	8.99785	0.0135462	0.184092	0	0	0.598027	0.108934	0.0476639	0.00807742	0.372297	0.033567	0.384792	0.00143559	0	0.878089	2.01475	0.290515	1.12528	0	0	0	0.0233449	0.0147944	0.00918319	2.13	0	0	3.18855	5.17284	3.09722	11.072
19	0.01026	0.0278677	0.540641	0.0154643	0.0671105	0.122303	0.0385743	0.0818251	8.26494	0.013903	0.188131	0	0	0.599958	0.108889	0.0477872	0.00802255	0.410765	0.0343676	0.340217	0.00143506	0	0.873833	2.03657	0.289573	0.40792	0	0	0	0.0233095	0.0147238	0.00918586	2.13	0	0	3.21477	4.72846	3.06741	10.5572
20	0.0108	0.0279054	0.538252	0.0154206	0.0671512	0.121144	0.0387312	0.103638	7.56694	0.0142384	0.192189	0	0	0.602274	0.108906	0.0479277	0.00797683	0.445296	0.0349828	0.311902	0.00143529	0	0.86995	2.05537	0.288782	0.0798922	0	0	0	0.0232881	0.0146595	0.0091919	2.13	0	0	3.23603	4.35286	3.03872	10.0341
21	0.01134	0.0279549	0.536249	0.015388	0.0672272	0.120135	0.0389019	0.125401	6.91714	0.0145589	0.196253	0	0	0.604888	0.109017	0.0481023	0.00793875	0.476073	0.0355791	0.293924	0.00143668	0	0.866621	2.06848	0.288218	0	0	0	0	0.023278	0.0146126	0.00920662	2.13	0	0	3.25405	4.03452	3.01084	9.55595
