TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
0	0	1.32598e-016	0	9.32414e-018
19	0.01026	0.00514158	0.0104233	0.00635302
38	0.02052	0.0067453	0.0120538	0.00930238
57	0.03078	0.00475572	0.0135239	0.00703432
76	0.04104	0.0031416	0.0122738	0.00485257
95	0.0513	0.0031416	0.0137104	0.0053541
114	0.06156	0.0031416	0.0158761	0.00519324
133	0.07182	0.00301161	0.0159006	0.00433259
152	0.08208	0.00301161	0.0176566	0.0043503
171	0.09234	0.00265808	0.0183853	0.0038342
190	0.1026	0.00249189	0.0191531	0.00323289
209	0.11286	0.00240251	0.0201682	0.00297724
228	0.12312	0.00222164	0.0211353	0.00256703
247	0.13338	0.00205485	0.0220739	0.00218321
266	0.14364	0.00185192	0.0230616	0.00185662
285	0.1539	0.00171634	0.0240426	0.00150645
304	0.16416	0.00157598	0.0250258	0.00117414
323	0.17442	0.00137348	0.0260191	0.000859238
342	0.18468	0.00125353	0.0270168	0.000545832
361	0.19494	0.00112728	0.0280188	0.000243709
380	0.2052	0.000936158	0.0290239	-4.68589e-005
399	0.21546	0.000816528	0.0300349	-0.000331509
418	0.22572	0.000704831	0.03105	-0.000607852
437	0.23598	0.00052951	0.0320667	-0.000874011
456	0.24624	0.000409584	0.0330886	-0.0011336
475	0.2565	0.00030499	0.0341142	-0.00138637
494	0.26676	0.000140193	0.0351407	-0.00162978
513	0.27702	2.31524e-005	0.0361718	-0.00186692
532	0.28728	-7.41685e-005	0.037206	-0.00209805
551	0.29754	-0.000225568	0.038241	-0.00232072
570	0.3078	-0.000344409	0.0392793	-0.00253723
589	0.31806	-0.000436032	0.0403209	-0.00274845
608	0.32832	-0.000582004	0.0413626	-0.0029518
627	0.33858	-0.000693763	0.0424072	-0.0031498
646	0.34884	-0.000781261	0.0434545	-0.00334282
665	0.3591	-0.00092091	0.0445016	-0.00352864
684	0.36936	-0.00103123	0.0455511	-0.00370943
703	0.37962	-0.00111549	0.0466028	-0.00388579
722	0.38988	-0.00124759	0.0476542	-0.00405558
741	0.40014	-0.00136032	0.0487073	-0.00422039
760	0.4104	-0.00144213	0.0497621	-0.00438165
779	0.42066	-0.00156577	0.0508168	-0.00453667
798	0.43092	-0.00168029	0.0518722	-0.00468704
817	0.44118	-0.00176029	0.0529295	-0.00483425
836	0.45144	-0.00187841	0.0539861	-0.00497587
855	0.4617	-0.00199518	0.055043	-0.00511298
874	0.47196	-0.00207241	0.0561019	-0.00524727
893	0.48222	-0.00218299	0.0571598	-0.00537666
912	0.49248	-0.00230488	0.0582172	-0.00550142
931	0.50274	-0.00238209	0.0592766	-0.00562389
950	0.513	-0.00248524	0.0603349	-0.00574211
969	0.52326	-0.0026132	0.061392	-0.0058556
988	0.53352	-0.00268911	0.0624511	-0.00596726
1007	0.54378	-0.00278553	0.063509	-0.00607523
1026	0.55404	-0.00291643	0.0645654	-0.00617837
1045	0.5643	-0.00299321	0.0656234	-0.00628009
1064	0.57456	-0.0030894	0.0666801	-0.0063784
1083	0.58482	-0.00321797	0.0677351	-0.00647232
1102	0.59508	-0.00329325	0.0687915	-0.00656505
1121	0.60534	-0.00339632	0.0698462	-0.00665437
1140	0.6156	-0.00352163	0.0708991	-0.00673991
1159	0.62586	-0.00359814	0.0719533	-0.00682421
1178	0.63612	-0.00370052	0.0730055	-0.00690549
1197	0.64638	-0.0038279	0.0740559	-0.00698308
1216	0.65664	-0.00390394	0.0751072	-0.00705994
1235	0.6669	-0.00400968	0.0761564	-0.00713365
1254	0.67716	-0.00413792	0.0772036	-0.00720412
1273	0.68742	-0.00421654	0.0782516	-0.00727395
1292	0.69768	-0.00431462	0.0792977	-0.00734116
1311	0.70794	-0.00445159	0.0803411	-0.00740475
1330	0.7182	-0.00453193	0.0813855	-0.0074681
1349	0.72846	-0.00462993	0.0824276	-0.00752916
1368	0.73872	-0.00476925	0.083467	-0.0075867
1387	0.74898	-0.00485726	0.0844975	-0.00764568
1406	0.75924	-0.00497261	0.0855087	-0.0077061
1425	0.7695	-0.00514841	0.0865002	-0.00776756
1444	0.77976	-0.0052593	0.0874775	-0.00783266
1463	0.79002	-0.00540203	0.0884379	-0.00789874
1482	0.80028	-0.00561086	0.0893808	-0.00796399
1501	0.81054	-0.00573743	0.0903116	-0.00803315
1520	0.8208	-0.00591621	0.091226	-0.00810235
1539	0.83106	-0.00614887	0.0921239	-0.00817062
1558	0.84132	-0.00629423	0.0930112	-0.00824281
1577	0.85158	-0.00649875	0.0938826	-0.00831449
1596	0.86184	-0.00676018	0.0947383	-0.00838482
1615	0.8721	-0.00692223	0.0955846	-0.00845929
1634	0.88236	-0.00715121	0.0964153	-0.00853279
1653	0.89262	-0.007435	0.0972313	-0.00860464
1672	0.90288	-0.00761433	0.0980387	-0.00868087
1691	0.91314	-0.00786683	0.0988312	-0.00875552
1710	0.9234	-0.00816886	0.0996097	-0.00882853
1729	0.93366	-0.00836404	0.100381	-0.00890583
1748	0.94392	-0.00863999	0.101137	-0.0089814
1767	0.95418	-0.00896673	0.101879	-0.00905491
1786	0.96444	-0.00917557	0.102615	-0.0091328
1805	0.9747	-0.00946708	0.103338	-0.00920881
1824	0.98496	-0.00981378	0.104047	-0.00928248
1843	0.99522	-0.0100347	0.10475	-0.00936072
1862	1.00548	-0.0103465	0.105439	-0.00943674
1881	1.01574	-0.0107109	0.106116	-0.00951023
1900	1.026	-0.010945	0.106789	-0.00958839
1919	1.03626	-0.0112676	0.107447	-0.00966442
1938	1.04652	-0.0116617	0.108094	-0.00973713
1957	1.05678	-0.0119029	0.108737	-0.00981497
1976	1.06704	-0.0122363	0.109367	-0.00989042
1995	1.0773	-0.0126488	0.109985	-0.00996243
2014	1.08756	-0.0129001	0.110599	-0.0100397
2033	1.09782	-0.013243	0.111202	-0.0101145
2052	1.10808	-0.0136764	0.111792	-0.0101856
2071	1.11834	-0.0139419	0.112372	-0.0102617
2090	1.1286	-0.014318	0.112918	-0.0103315
2109	1.13886	-0.0147957	0.113437	-0.0103994
2128	1.14912	-0.015093	0.113937	-0.0104743
2147	1.15938	-0.0155089	0.114413	-0.0105451
2166	1.16964	-0.01603	0.114863	-0.0106121
2185	1.1799	-0.0163528	0.115301	-0.0106857
2204	1.19016	-0.0167986	0.115716	-0.0107555
2223	1.20042	-0.0173581	0.116109	-0.0108206
2242	1.21068	-0.017701	0.116493	-0.0108924
2261	1.22094	-0.0181737	0.116855	-0.0109604
2280	1.2312	-0.0187681	0.117198	-0.0110233
2299	1.24146	-0.0191282	0.117534	-0.0110929
2318	1.25172	-0.0196154	0.117851	-0.0111589
2337	1.26198	-0.0202462	0.118149	-0.011219
2356	1.27224	-0.0206236	0.118443	-0.0112859
2375	1.2825	-0.0211163	0.118721	-0.0113499
2394	1.29276	-0.0217785	0.11898	-0.0114068
2413	1.30302	-0.0221743	0.119238	-0.0114707
2432	1.31328	-0.0226699	0.119481	-0.0115325
2451	1.32354	-0.0233595	0.119707	-0.011586
2470	1.3338	-0.0237727	0.119933	-0.011647
2489	1.34406	-0.0242666	0.120145	-0.0117063
2508	1.35432	-0.0249797	0.120342	-0.0117565
2527	1.36458	-0.0254025	0.12054	-0.0118147
2546	1.37484	-0.0259	0.120727	-0.0118709
2565	1.3851	-0.0266299	0.120898	-0.0119181
2584	1.39536	-0.0270643	0.121072	-0.0119731
2603	1.40562	-0.0275583	0.121235	-0.0120265
2622	1.41588	-0.0283004	0.121384	-0.0120709
2641	1.42614	-0.0287519	0.121536	-0.0121222
2660	1.4364	-0.0292425	0.12168	-0.012173
2679	1.44666	-0.0299941	0.121809	-0.0122143
2698	1.45692	-0.0304616	0.121943	-0.0122621
2717	1.46718	-0.0309453	0.122069	-0.0123104
2736	1.47744	-0.0317034	0.122182	-0.0123486
2755	1.4877	-0.0321895	0.122299	-0.012393
2774	1.49796	-0.0326622	0.12241	-0.012439
2793	1.50822	-0.033421	0.122509	-0.0124743
2812	1.51848	-0.0339217	0.122611	-0.0125156
2831	1.52874	-0.0343885	0.122709	-0.0125585
2850	1.539	-0.0351396	0.122795	-0.0125918
2869	1.54926	-0.0356644	0.122885	-0.0126291
2888	1.55952	-0.0361275	0.122972	-0.0126695
2907	1.56978	-0.0368701	0.123047	-0.0127002
2926	1.58004	-0.0374099	0.123126	-0.0127342
2945	1.5903	-0.0378688	0.123203	-0.0127722
2964	1.60056	-0.0386051	0.123269	-0.0128003
2983	1.61082	-0.0391611	0.123338	-0.0128312
3002	1.62108	-0.0396108	0.123407	-0.0128669
3021	1.63134	-0.0403327	0.123465	-0.0128929
3040	1.6416	-0.0409077	0.123525	-0.012921
3059	1.65186	-0.0413524	0.123587	-0.0129538
3078	1.66212	-0.0420571	0.123638	-0.0129782
3097	1.67238	-0.0426517	0.123691	-0.0130031
3116	1.68264	-0.0430957	0.123746	-0.0130336
3135	1.6929	-0.0437812	0.123792	-0.0130562
3154	1.70316	-0.0443925	0.123838	-0.013078
3173	1.71342	-0.0448349	0.123887	-0.0131064
3192	1.72368	-0.0455032	0.123928	-0.0131272
3211	1.73394	-0.0461332	0.123968	-0.0131464
3230	1.7442	-0.0465653	0.124013	-0.0131729
3249	1.75446	-0.047217	0.12405	-0.0131918
3268	1.76472	-0.0478606	0.124084	-0.0132089
3287	1.77498	-0.0482903	0.124125	-0.013233
3306	1.78524	-0.0489206	0.124157	-0.0132506
3325	1.7955	-0.0495794	0.124185	-0.0132648
3344	1.80576	-0.0500102	0.12422	-0.0132864
3363	1.81602	-0.0506237	0.124246	-0.0133028
3382	1.82628	-0.0512996	0.124268	-0.0133143
3401	1.83654	-0.0517325	0.124297	-0.0133339
3420	1.8468	-0.0523246	0.124319	-0.013349
3439	1.85706	-0.0530156	0.124336	-0.0133582
3458	1.86732	-0.053443	0.124361	-0.0133763
3477	1.87758	-0.0540178	0.124379	-0.0133897
3496	1.88784	-0.0547204	0.124392	-0.0133972
3515	1.8981	-0.0551422	0.124413	-0.0134134
3534	1.90836	-0.0557039	0.124429	-0.0134255
3553	1.91862	-0.0564137	0.124438	-0.0134313
3572	1.92888	-0.0568351	0.124457	-0.0134455
3591	1.93914	-0.0573746	0.124471	-0.0134568
3610	1.9494	-0.0580956	0.124478	-0.0134607
3629	1.95966	-0.0585208	0.124495	-0.0134731
3648	1.96992	-0.0590401	0.124506	-0.0134836
3667	1.98018	-0.0597652	0.124512	-0.0134857
3686	1.99044	-0.0601935	0.124527	-0.0134966
3705	2.0007	-0.0606949	0.124538	-0.013506
3724	2.01096	-0.0614221	0.124542	-0.0135069
3743	2.02122	-0.0618513	0.124555	-0.0135162
3762	2.03148	-0.0623346	0.124566	-0.0135246
3781	2.04174	-0.0630577	0.124569	-0.0135247
3800	2.052	-0.0634998	0.124581	-0.0135319
3819	2.06226	-0.0639657	0.124591	-0.0135398
3838	2.07252	-0.0646841	0.124594	-0.0135386
3857	2.08278	-0.0651391	0.124605	-0.0135442
3876	2.09304	-0.0655869	0.124614	-0.0135515
3895	2.1033	-0.0662966	0.124617	-0.0135494
3914	2.11356	-0.0667567	0.124626	-0.0135538
3933	2.12382	-0.0671928	0.124636	-0.0135602
3952	2.13408	-0.0678882	0.124638	-0.0135578
3971	2.14434	-0.0683612	0.124647	-0.0135605
3990	2.1546	-0.0687884	0.124657	-0.013566
4009	2.16486	-0.0694701	0.124659	-0.0135633
4028	2.17512	-0.0699558	0.124668	-0.0135645
4047	2.18538	-0.070374	0.124677	-0.0135695
4066	2.19564	-0.0710396	0.124679	-0.0135663
4085	2.2059	-0.0715398	0.124687	-0.0135661
4104	2.21616	-0.0719443	0.124696	-0.0135707
4123	2.22642	-0.0725939	0.1247	-0.0135667
4142	2.23668	-0.0731031	0.124707	-0.0135656
4161	2.24694	-0.0735008	0.124717	-0.0135691
4180	2.2572	-0.0741245	0.124721	-0.0135653
4199	2.26746	-0.0746567	0.124727	-0.0135623
4218	2.27772	-0.0750516	0.124737	-0.0135648
4237	2.28798	-0.0756473	0.124742	-0.013561
4256	2.29824	-0.0762011	0.124748	-0.0135562
4275	2.3085	-0.0765842	0.124758	-0.013558
4294	2.31876	-0.0771521	0.124764	-0.013554
4313	2.32902	-0.077727	0.124769	-0.013548
4332	2.33928	-0.0781061	0.124781	-0.0135488
4351	2.34954	-0.0786416	0.124787	-0.013545
4370	2.3598	-0.0792371	0.124792	-0.0135376
4389	2.37006	-0.0796174	0.124804	-0.0135373
4408	2.38032	-0.0801252	0.124811	-0.0135337
4427	2.39058	-0.0807413	0.124815	-0.0135251
4446	2.40084	-0.0811132	0.124827	-0.0135243
4465	2.4111	-0.0815872	0.124836	-0.013521
4484	2.42136	-0.0822242	0.124839	-0.0135115
4503	2.43162	-0.0826032	0.124851	-0.0135095
4522	2.44188	-0.0830439	0.124861	-0.0135065
4541	2.45214	-0.0836849	0.124865	-0.0134963
4560	2.4624	-0.0840688	0.124877	-0.0134935
4579	2.47266	-0.0844899	0.124886	-0.0134906
4598	2.48292	-0.0851277	0.12489	-0.0134803
4617	2.49318	-0.0855276	0.124902	-0.0134762
4636	2.50344	-0.0859273	0.124912	-0.0134735
4655	2.5137	-0.0865575	0.124917	-0.013463
4674	2.52396	-0.0869693	0.124928	-0.0134582
4693	2.53422	-0.0873531	0.124938	-0.0134554
4712	2.54448	-0.0879622	0.124944	-0.0134453
4731	2.55474	-0.0884008	0.124954	-0.013439
4750	2.565	-0.0887715	0.124965	-0.0134363
4769	2.57526	-0.0893613	0.124971	-0.0134265
4788	2.58552	-0.0898161	0.12498	-0.0134194
4807	2.59578	-0.0901756	0.124992	-0.0134165
4826	2.60604	-0.090741	0.124998	-0.0134072
4845	2.6163	-0.0912193	0.125007	-0.0133991
4864	2.62656	-0.0915755	0.125019	-0.0133959
4883	2.63682	-0.0921068	0.125026	-0.0133875
4902	2.64708	-0.0926163	0.125034	-0.0133782
4921	2.65734	-0.0929616	0.125046	-0.013375
4940	2.6676	-0.0934558	0.125054	-0.0133675
4959	2.67786	-0.0939937	0.125061	-0.0133573
4978	2.68812	-0.0943392	0.125073	-0.0133535
4997	2.69838	-0.0948049	0.125082	-0.0133467
5016	2.70864	-0.0953624	0.125088	-0.0133356
5035	2.7189	-0.0956988	0.125101	-0.013332
5054	2.72916	-0.0961379	0.12511	-0.0133257
5073	2.73942	-0.0967111	0.125116	-0.0133144
5092	2.74968	-0.0970532	0.125128	-0.01331
5111	2.75994	-0.0974638	0.125138	-0.0133044
5130	2.7702	-0.0980455	0.125144	-0.0132926
5149	2.78046	-0.0983896	0.125156	-0.013288
5168	2.79072	-0.0987784	0.125166	-0.0132829
5187	2.80098	-0.0993586	0.125171	-0.0132714
5206	2.81124	-0.0997183	0.125183	-0.0132658
5225	2.8215	-0.100087	0.125194	-0.0132611
5244	2.83176	-0.100661	0.1252	-0.0132495
5263	2.84202	-0.101031	0.125211	-0.0132435
5282	2.85228	-0.101384	0.125222	-0.0132392
5301	2.86254	-0.101944	0.125228	-0.0132282
5320	2.8728	-0.102331	0.125238	-0.0132214
5339	2.88306	-0.102674	0.125249	-0.0132172
5358	2.89332	-0.103217	0.125256	-0.0132066
5377	2.90358	-0.103626	0.125266	-0.0131989
5396	2.91384	-0.103954	0.125277	-0.013195
5415	2.9241	-0.104471	0.125284	-0.0131852
5434	2.93436	-0.104904	0.125293	-0.0131768
5453	2.94462	-0.105228	0.125304	-0.0131727
5472	2.95488	-0.105715	0.125312	-0.0131638
5491	2.96514	-0.106173	0.12532	-0.0131544
5510	2.9754	-0.106487	0.125332	-0.0131506
5529	2.98566	-0.106951	0.12534	-0.0131422
5548	2.99592	-0.107428	0.125347	-0.0131324
5567	3.00618	-0.107743	0.125359	-0.0131282
5586	3.01644	-0.108168	0.125368	-0.0131211
5605	3.0267	-0.108676	0.125374	-0.0131102
5624	3.03696	-0.108982	0.125386	-0.013106
5643	3.04722	-0.109383	0.125395	-0.0130995
5662	3.05748	-0.109903	0.125402	-0.0130884
5681	3.06774	-0.110212	0.125413	-0.0130839
5700	3.078	-0.110589	0.125423	-0.0130781
5719	3.08826	-0.111117	0.125429	-0.0130668
5738	3.09852	-0.111432	0.12544	-0.0130618
5757	3.10878	-0.111785	0.12545	-0.0130566
5776	3.11904	-0.112312	0.125456	-0.0130455
5795	3.1293	-0.112641	0.125467	-0.0130398
5814	3.13956	-0.112975	0.125477	-0.0130351
5833	3.14982	-0.113498	0.125483	-0.0130241
5852	3.16008	-0.113838	0.125494	-0.013018
5871	3.17034	-0.114155	0.125504	-0.0130137
5890	3.1806	-0.114659	0.12551	-0.0130034
5909	3.19086	-0.115023	0.12552	-0.0129963
5928	3.20112	-0.115331	0.125531	-0.0129921
