TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
0	0	0	0	0
19	0.01026	-0.165417	-0.0197293	-0.165307
38	0.02052	-0.288377	0.00550376	-0.333831
57	0.03078	-0.351822	0.0695533	-0.481651
76	0.04104	-0.368941	0.158715	-0.607106
95	0.0513	-0.351437	0.261528	-0.708661
114	0.06156	-0.307066	0.370525	-0.785737
133	0.07182	-0.241793	0.481062	-0.839183
152	0.08208	-0.160237	0.590599	-0.871242
171	0.09234	-0.0668263	0.697629	-0.886948
190	0.1026	0.0370423	0.802588	-0.888949
209	0.11286	0.151296	0.90657	-0.878529
228	0.12312	0.277038	1.01122	-0.85614
247	0.13338	0.417087	1.119	-0.821259
266	0.14364	0.577546	1.2341	-0.771746
285	0.1539	0.773172	1.36549	-0.701537
304	0.16416	1.06329	1.54739	-0.585235
323	0.17442	1.11741	1.5914	-0.56438
342	0.18468	1.60371	1.87767	-0.349543
361	0.19494	1.38101	1.75516	-0.430104
380	0.2052	1.08834	1.58792	-0.529942
399	0.21546	1.18656	1.63982	-0.451799
418	0.22572	1.36128	1.73141	-0.330178
437	0.23598	1.3364	1.7045	-0.282411
456	0.24624	1.3443	1.69017	-0.206841
475	0.2565	1.3443	1.66288	-0.119222
494	0.26676	1.3443	1.62826	-0.0166236
513	0.27702	1.34431	1.58528	0.101826
532	0.28728	1.34434	1.53283	0.236116
551	0.29754	1.34439	1.47006	0.385342
570	0.3078	0.772456	1.11079	0.186389
589	0.31806	0.625357	1.00224	0.147844
608	0.32832	0.506175	0.908958	0.121952
627	0.33858	0.404496	0.825027	0.104207
646	0.34884	0.315356	0.747653	0.0924436
665	0.3591	0.243243	0.685947	0.0775608
684	0.36936	0.209788	0.665892	0.0494555
703	0.37962	0.201493	0.659657	0.0395775
722	0.38988	0.214822	0.666033	0.045875
741	0.40014	0.238717	0.68007	0.0600188
760	0.4104	0.26695	0.698463	0.0773146
779	0.42066	0.295762	0.71865	0.0949759
798	0.43092	0.321014	0.737984	0.107611
817	0.44118	0.346058	0.757577	0.113056
836	0.45144	0.370212	0.776399	0.118375
855	0.4617	0.393545	0.794503	0.12359
874	0.47196	0.416124	0.811941	0.128717
893	0.48222	0.438006	0.828761	0.133765
912	0.49248	0.459948	0.845239	0.139191
931	0.50274	0.481647	0.86131	0.144762
950	0.513	0.502648	0.876845	0.150173
969	0.52326	0.523005	0.891872	0.155446
988	0.53352	0.54277	0.906425	0.160603
1007	0.54378	0.561991	0.920534	0.16566
1026	0.55404	0.580712	0.934228	0.170632
1045	0.5643	0.59897	0.947533	0.17553
1064	0.57456	0.616799	0.960472	0.180364
1083	0.58482	0.634227	0.973067	0.185143
1102	0.59508	0.651281	0.985337	0.189873
1121	0.60534	0.667985	0.9973	0.19456
1140	0.6156	0.68436	1.00897	0.199208
1159	0.62586	0.700423	1.02037	0.20382
1178	0.63612	0.716193	1.03151	0.208401
1197	0.64638	0.731686	1.04239	0.212953
1216	0.65664	0.746914	1.05304	0.217478
1235	0.6669	0.761892	1.06347	0.221978
1254	0.67716	0.776631	1.07368	0.226455
1273	0.68742	0.791143	1.08368	0.230909
1292	0.69768	0.805437	1.09349	0.235343
1311	0.70794	0.819524	1.10311	0.239758
