TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
0	0	0	0	0
19	0.01026	-0.165417	-0.0197292	-0.165307
38	0.02052	-0.288377	0.00550382	-0.333831
57	0.03078	-0.351822	0.0695534	-0.481651
76	0.04104	-0.368941	0.158715	-0.607106
95	0.0513	-0.351436	0.261528	-0.708661
114	0.06156	-0.307066	0.370525	-0.785737
133	0.07182	-0.241793	0.481062	-0.839183
152	0.08208	-0.160237	0.590599	-0.871242
171	0.09234	-0.0668262	0.697629	-0.886948
190	0.1026	0.0370424	0.802588	-0.888949
209	0.11286	0.151296	0.90657	-0.878529
228	0.12312	0.277038	1.01122	-0.85614
247	0.13338	0.417088	1.119	-0.821259
266	0.14364	0.577547	1.2341	-0.771746
285	0.1539	0.773172	1.36549	-0.701537
304	0.16416	1.06329	1.54739	-0.585235
323	0.17442	1.11809	1.59179	-0.564088
342	0.18468	1.42256	1.774	-0.426786
361	0.19494	1.34944	1.73483	-0.439001
380	0.2052	1.32283	1.71336	-0.415496
399	0.21546	1.26653	1.67115	-0.39458
418	0.22572	1.21873	1.63036	-0.359375
437	0.23598	1.18615	1.59398	-0.305633
456	0.24624	1.17589	1.56516	-0.229141
475	0.2565	1.20431	1.55232	-0.122045
494	0.26676	1.36112	1.60584	0.0548987
513	0.27702	1.34658	1.55179	0.173792
532	0.28728	1.34659	1.4958	0.313878
551	0.29754	1.0066	1.24729	0.286592
570	0.3078	0.784454	1.09795	0.213682
589	0.31806	0.63278	0.988165	0.171771
608	0.32832	0.512106	0.895496	0.143756
627	0.33858	0.410421	0.813141	0.12442
646	0.34884	0.322112	0.737947	0.111303
665	0.3591	0.277459	0.710719	0.0793162
684	0.36936	0.260147	0.699176	0.0653673
703	0.37962	0.266912	0.701547	0.0687005
722	0.38988	0.286522	0.71273	0.0811573
741	0.40014	0.31041	0.728098	0.0964983
760	0.4104	0.332712	0.743787	0.110158
779	0.42066	0.352542	0.759145	0.116428
798	0.43092	0.371657	0.77416	0.120572
817	0.44118	0.390111	0.788635	0.124559
836	0.45144	0.407965	0.802605	0.128445
855	0.4617	0.425265	0.816101	0.132246
874	0.47196	0.442381	0.829259	0.136193
893	0.48222	0.459773	0.842255	0.140541
912	0.49248	0.476556	0.854813	0.144711
931	0.50274	0.492781	0.866958	0.148735
950	0.513	0.508493	0.878715	0.152635
969	0.52326	0.523725	0.890099	0.156427
988	0.53352	0.538509	0.901131	0.160124
1007	0.54378	0.552877	0.911829	0.163739
1026	0.55404	0.566855	0.92221	0.167281
1045	0.5643	0.580466	0.93229	0.170757
1064	0.57456	0.593729	0.942083	0.174174
1083	0.58482	0.606663	0.9516	0.177535
1102	0.59508	0.619281	0.960854	0.180846
1121	0.60534	0.631598	0.969855	0.184107
1140	0.6156	0.643625	0.978613	0.187322
1159	0.62586	0.65537	0.987136	0.190489
1178	0.63612	0.666844	0.995432	0.193611
1197	0.64638	0.678057	1.00351	0.196688
1216	0.65664	0.689016	1.01138	0.199724
1235	0.6669	0.699729	1.01904	0.202717
1254	0.67716	0.710202	1.0265	0.205668
1273	0.68742	0.720442	1.03377	0.208579
1292	0.69768	0.730452	1.04085	0.211449
1311	0.70794	0.74024	1.04776	0.214277
1330	0.7182	0.749808	1.05448	0.217064
1349	0.72846	0.759161	1.06103	0.219809
1368	0.73872	0.768302	1.06741	0.222513
