TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
0	0	0	0	0
19	0.01026	-0.165417	-0.0197292	-0.165307
38	0.02052	-0.288377	0.00550375	-0.333831
57	0.03078	-0.351822	0.0695534	-0.481651
76	0.04104	-0.368941	0.158715	-0.607106
95	0.0513	-0.351436	0.261528	-0.708661
114	0.06156	-0.307066	0.370525	-0.785737
133	0.07182	-0.241793	0.481062	-0.839183
152	0.08208	-0.160237	0.590599	-0.871242
171	0.09234	-0.0668263	0.697629	-0.886948
190	0.1026	0.0370423	0.802588	-0.888949
209	0.11286	0.151296	0.90657	-0.878529
228	0.12312	0.277038	1.01122	-0.85614
247	0.13338	0.417087	1.119	-0.821259
266	0.14364	0.577546	1.2341	-0.771746
285	0.1539	0.773172	1.36549	-0.701537
304	0.16416	1.06329	1.54739	-0.585235
323	0.17442	1.11752	1.59146	-0.564334
342	0.18468	1.22624	1.6622	-0.511613
361	0.19494	0.3657	1.17568	-0.865868
380	0.2052	0.521504	1.26742	-0.777165
399	0.21546	0.691335	1.36395	-0.673815
418	0.22572	0.894961	1.47633	-0.546415
437	0.23598	1.25875	1.67626	-0.339854
456	0.24624	0.447943	1.20041	-0.624947
475	0.2565	0.617157	1.27829	-0.476197
494	0.26676	0.824076	1.372	-0.297764
513	0.27702	1.18779	1.54897	-0.0377769
532	0.28728	1.61994	1.75743	0.266956
551	0.29754	1.38004	1.57315	0.298353
570	0.3078	1.18526	1.43779	0.272283
589	0.31806	1.36831	1.53575	0.357387
608	0.32832	1.3123	1.49421	0.342925
627	0.33858	1.23456	1.43985	0.319552
646	0.34884	1.16128	1.38811	0.298002
665	0.3591	1.09205	1.33875	0.278124
684	0.36936	1.02731	1.29192	0.260209
703	0.37962	0.967273	1.24763	0.244451
722	0.38988	0.909674	1.20482	0.229655
741	0.40014	0.854645	1.16354	0.215893
760	0.4104	0.802184	1.12378	0.203175
779	0.42066	0.752226	1.0855	0.191478
798	0.43092	0.704678	1.04864	0.180765
817	0.44118	0.659438	1.01316	0.170993
836	0.45144	0.6164	0.978977	0.162114
855	0.4617	0.575456	0.946048	0.154078
874	0.47196	0.536504	0.914314	0.146837
893	0.48222	0.499442	0.883725	0.140342
912	0.49248	0.464177	0.85423	0.134547
931	0.50274	0.430615	0.825785	0.129406
950	0.513	0.39867	0.798346	0.124875
969	0.52326	0.36826	0.771873	0.120913
988	0.53352	0.339306	0.746326	0.117478
1007	0.54378	0.326753	0.736741	0.111515
1026	0.55404	0.331663	0.739685	0.113284
1045	0.5643	0.336468	0.742643	0.115076
1064	0.57456	0.340664	0.745233	0.116627
1083	0.58482	0.344327	0.747498	0.11797
1102	0.59508	0.347524	0.749477	0.119132
1121	0.60534	0.350311	0.751203	0.120137
1140	0.6156	0.352739	0.752707	0.121006
1159	0.62586	0.354852	0.754015	0.121756
1178	0.63612	0.35669	0.75515	0.122403
1197	0.64638	0.358289	0.756137	0.12296
1216	0.65664	0.359683	0.756996	0.123439
1235	0.6669	0.360896	0.757742	0.123851
1254	0.67716	0.361951	0.758389	0.124204
1273	0.68742	0.362867	0.75895	0.124506
1292	0.69768	0.363662	0.759434	0.124763
1311	0.70794	0.36435	0.75985	0.124981
1330	0.7182	0.364944	0.760208	0.125164
1349	0.72846	0.365456	0.760513	0.125317
1368	0.73872	0.365896	0.760773	0.125444
