TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
0	0	0	0	0
19	0.01026	-0.165417	-0.0197292	-0.165307
38	0.02052	-0.288377	0.00550375	-0.333831
57	0.03078	-0.351822	0.0695534	-0.481651
76	0.04104	-0.368941	0.158715	-0.607106
95	0.0513	-0.351436	0.261528	-0.708661
114	0.06156	-0.307066	0.370525	-0.785737
133	0.07182	-0.241793	0.481062	-0.839183
152	0.08208	-0.160237	0.590599	-0.871242
171	0.09234	-0.0668263	0.697629	-0.886948
190	0.1026	0.0370423	0.802588	-0.888949
209	0.11286	0.151296	0.90657	-0.878529
228	0.12312	0.277038	1.01122	-0.85614
247	0.13338	0.417087	1.119	-0.821259
266	0.14364	0.577546	1.2341	-0.771746
285	0.1539	0.773172	1.36549	-0.701537
304	0.16416	1.06329	1.54739	-0.585235
323	0.17442	1.11741	1.5914	-0.564379
342	0.18468	1.61577	1.88454	-0.34432
361	0.19494	0.874476	1.46589	-0.647037
380	0.2052	1.18404	1.64492	-0.492053
399	0.21546	1.22024	1.66429	-0.445164
418	0.22572	1.22269	1.65974	-0.401413
437	0.23598	1.24873	1.66264	-0.334112
456	0.24624	1.34416	1.69842	-0.222738
475	0.2565	1.34415	1.67141	-0.136861
494	0.26676	1.34415	1.63744	-0.0360534
513	0.27702	1.34417	1.59532	0.0805557
532	0.28728	1.3442	1.54388	0.213138
551	0.29754	1.34425	1.48223	0.360932
570	0.3078	0.85851	1.16652	0.218519
589	0.31806	0.689979	1.04636	0.170127
608	0.32832	0.55938	0.947148	0.138733
627	0.33858	0.450243	0.859529	0.117217
646	0.34884	0.355685	0.77961	0.102583
665	0.3591	0.272044	0.705338	0.09322
684	0.36936	0.227971	0.677045	0.0626729
703	0.37962	0.211342	0.666265	0.0468707
722	0.38988	0.218206	0.668835	0.0484646
741	0.40014	0.239694	0.680977	0.0608636
760	0.4104	0.266675	0.698102	0.0772632
779	0.42066	0.294231	0.716993	0.0940213
798	0.43092	0.318534	0.735048	0.106529
817	0.44118	0.341484	0.752981	0.111891
836	0.45144	0.363563	0.770207	0.116749
855	0.4617	0.384803	0.786725	0.121467
874	0.47196	0.405271	0.802587	0.126065
893	0.48222	0.425028	0.817839	0.130556
912	0.49248	0.444991	0.832808	0.135505
931	0.50274	0.464482	0.847306	0.140442
950	0.513	0.48326	0.861272	0.145199
969	0.52326	0.501388	0.874742	0.1498
988	0.53352	0.51891	0.887744	0.154265
1007	0.54378	0.535872	0.900305	0.15861
1026	0.55404	0.552313	0.912452	0.16285
1045	0.5643	0.568273	0.92421	0.166996
1064	0.57456	0.583782	0.935601	0.171059
1083	0.58482	0.598869	0.946646	0.175046
1102	0.59508	0.613559	0.957364	0.178964
1121	0.60534	0.627874	0.96777	0.182819
1140	0.6156	0.641834	0.977881	0.186614
1159	0.62586	0.655457	0.98771	0.190354
1178	0.63612	0.668759	0.99727	0.194042
1197	0.64638	0.681753	1.00657	0.197679
1216	0.65664	0.694451	1.01563	0.201267
1235	0.6669	0.706863	1.02445	0.204805
1254	0.67716	0.719	1.03304	0.208295
1273	0.68742	0.730873	1.04141	0.21174
1292	0.69768	0.742489	1.04957	0.21514
1311	0.70794	0.753858	1.05752	0.218496
1330	0.7182	0.764986	1.06528	0.221809
1349	0.72846	0.77588	1.07285	0.225079
1368	0.73872	0.786544	1.08023	0.228306
