TimeSlice	Time	LH_Knee	LH_HipZ	LH_AnkleZ
0	0	0	0	0
19	0.01026	-0.165417	-0.0197292	-0.165307
38	0.02052	-0.288377	0.00550378	-0.333831
57	0.03078	-0.351822	0.0695534	-0.481651
76	0.04104	-0.368941	0.158715	-0.607106
95	0.0513	-0.351436	0.261528	-0.708661
114	0.06156	-0.307066	0.370525	-0.785737
133	0.07182	-0.241793	0.481062	-0.839183
152	0.08208	-0.160237	0.590599	-0.871242
171	0.09234	-0.0668262	0.697629	-0.886948
190	0.1026	0.0370424	0.802588	-0.888949
209	0.11286	0.151296	0.90657	-0.878529
228	0.12312	0.277038	1.01122	-0.85614
247	0.13338	0.417087	1.119	-0.821259
266	0.14364	0.577546	1.2341	-0.771746
285	0.1539	0.773172	1.36549	-0.701537
304	0.16416	1.06329	1.54739	-0.585235
323	0.17442	1.11792	1.59169	-0.564161
342	0.18468	1.25965	1.68112	-0.496926
361	0.19494	1.40292	1.76614	-0.418164
380	0.2052	0.920959	1.49076	-0.598781
399	0.21546	1.15642	1.62212	-0.462911
418	0.22572	1.23239	1.65818	-0.384622
437	0.23598	1.34004	1.70604	-0.279046
456	0.24624	1.33563	1.68187	-0.206374
475	0.2565	1.33818	1.65571	-0.116609
494	0.26676	1.34049	1.62221	-0.0119995
513	0.27702	1.34156	1.57955	0.1079
532	0.28728	1.34201	1.52697	0.243262
551	0.29754	1.34269	1.46414	0.393492
570	0.3078	0.895088	1.179	0.24614
589	0.31806	0.711059	1.05033	0.190543
608	0.32832	0.573228	0.947337	0.155544
627	0.33858	0.459933	0.857709	0.131757
646	0.34884	0.362796	0.776708	0.115585
665	0.3591	0.286732	0.714341	0.0962944
684	0.36936	0.250275	0.692413	0.0678468
703	0.37962	0.240205	0.685157	0.0580407
722	0.38988	0.252464	0.69101	0.0645181
741	0.40014	0.276239	0.705126	0.0792732
760	0.4104	0.304087	0.723457	0.0967878
779	0.42066	0.329357	0.741896	0.111466
798	0.43092	0.352575	0.760302	0.116623
817	0.44118	0.375229	0.778139	0.121426
836	0.45144	0.397169	0.795338	0.126152
855	0.4617	0.418449	0.811943	0.130815
874	0.47196	0.439121	0.827992	0.135423
893	0.48222	0.459504	0.843615	0.140161
912	0.49248	0.480209	0.859042	0.145382
931	0.50274	0.500269	0.873973	0.150454
950	0.513	0.519733	0.888436	0.155399
969	0.52326	0.538648	0.902457	0.160238
988	0.53352	0.557059	0.916064	0.164987
1007	0.54378	0.575006	0.929282	0.16966
1026	0.55404	0.592522	0.942135	0.174268
1045	0.5643	0.609638	0.954644	0.178821
1064	0.57456	0.62638	0.966826	0.183326
1083	0.58482	0.642771	0.9787	0.187788
1102	0.59508	0.658831	0.990281	0.192213
1121	0.60534	0.674579	1.00158	0.196604
1140	0.6156	0.690031	1.01262	0.200965
1159	0.62586	0.705202	1.02341	0.205297
1178	0.63612	0.720104	1.03395	0.209603
1197	0.64638	0.734751	1.04426	0.213884
1216	0.65664	0.749153	1.05435	0.218141
1235	0.6669	0.76332	1.06423	0.222376
1254	0.67716	0.777262	1.07391	0.226588
1273	0.68742	0.790987	1.08339	0.230779
1292	0.69768	0.804502	1.09268	0.234949
1311	0.70794	0.817817	1.1018	0.239098
1330	0.7182	0.830934	1.11073	0.243225
1349	0.72846	0.843861	1.1195	0.247329
1368	0.73872	0.856604	1.12811	0.251412
