TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	99.1827	98.7007	98.9161	99.5591	99.9035	98.937	99.1645	99.937	100	99.9995	100
1	0.00054	99.1827	98.7007	98.917	99.5591	99.9035	98.9368	99.1645	99.937	100	99.9995	100
2	0.00108	99.1834	98.7013	98.9191	99.5588	99.9035	98.9367	99.1657	99.937	100	99.9995	100
3	0.00162	99.1849	98.7028	98.9228	99.5583	99.9035	98.9368	99.1683	99.9369	100	99.9995	100
4	0.00216	99.1875	98.7055	98.9279	99.5575	99.9036	98.9372	99.1727	99.9364	100	99.9995	100
5	0.0027	99.1912	98.7095	98.9347	99.5565	99.9037	98.938	99.1789	99.9357	100	99.9995	100
6	0.00324	99.1961	98.7148	98.943	99.5553	99.9038	98.939	99.1868	99.9346	100	99.9996	100
7	0.00378	99.2021	98.7214	98.9529	99.5539	99.904	98.9404	99.1965	99.9333	100	99.9996	100
8	0.00432	99.2092	98.7292	98.964	99.5523	99.9043	98.942	99.2079	99.9316	100	99.9997	100
9	0.00486	99.2172	98.7381	98.9792	99.5505	99.9045	98.9456	99.2207	99.9298	100	99.9997	99.9999
10	0.0054	99.2282	98.7507	98.9951	99.5487	99.905	98.9492	99.2376	99.9261	99.9999	99.9998	99.9999
11	0.00594	99.2397	98.7639	99.0149	99.5467	99.9055	98.9547	99.2554	99.9224	99.9999	99.9998	99.9999
12	0.00648	99.254	98.7807	99.0344	99.5447	99.9062	98.9596	99.2769	99.9167	99.9998	99.9999	99.9999
13	0.00702	99.2682	98.7971	99.0566	99.5424	99.9069	98.9659	99.2982	99.9113	99.9996	99.9999	99.9998
14	0.00756	99.2843	98.8161	99.0772	99.54	99.9077	98.9709	99.3222	99.9045	99.9995	100	99.9998
15	0.0081	99.2993	98.8335	99.0993	99.5374	99.9084	98.9764	99.3446	99.8987	99.9993	100	99.9997
