TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0	0	0	0.000100226	0.0617947	0	0	0.00351803	0.00150282	0.00302707	0
1	0.00054	1.16622e-007	1.15414e-005	1.85703e-005	0.000199816	0.116091	0	1.73162e-006	0.006771	0.00275233	0.00585935	0.00460248
2	0.00108	1.22008e-005	0.000197329	7.88013e-005	0.000301443	0.163787	5.16686e-006	4.81778e-005	0.0097766	0.00152937	0.00819631	0.0106405
3	0.00162	5.54421e-005	0.0008207	0.000184312	0.000407391	0.205559	0.000187398	0.000202761	0.0137672	0	0.0096897	0.0112479
4	0.00216	0.000139168	0.00192755	0.000329721	0.000516956	0.241946	0.000387783	0.000489195	0.020278	0	0.0102917	0.00753609
5	0.0027	0.000266803	0.00342829	0.000508021	0.000629683	0.273502	0.000639913	0.000914111	0.029739	0	0.00998307	3.62053e-005
6	0.00324	0.000439606	0.00522374	0.000710246	0.000745344	0.300751	0.000884498	0.00147729	0.0422501	0	0.00877842	0
7	0.00378	0.000656272	0.00720983	0.000926663	0.000863713	0.324171	0.00111532	0.00217183	0.0575781	0	0.00672998	0
8	0.00432	0.000913143	0.00927243	0.00114734	0.000984639	0.344228	0.0013009	0.00298434	0.0751349	0	0.00388039	0
9	0.00486	0.00120458	0.0113011	0.00136195	0.00110826	0.36136	0.00143004	0.00389637	0.0939952	0	0.000295863	0
10	0.0054	0.00152331	0.0131914	0.00156092	0.00123469	0.375984	0.00147894	0.00488448	0.112972	0	0	0
11	0.00594	0.00186068	0.014846	0.00173631	0.00136405	0.388501	0.00144857	0.00592194	0.130786	0	0	0
12	0.00648	0.00220728	0.016188	0.00188185	0.00149664	0.399274	0.00133832	0.00698117	0.146122	0	0	0
13	0.00702	0.0025541	0.0171732	0.00199412	0.0016327	0.408624	0.00115624	0.00803557	0.157757	0	0	0
14	0.00756	0.00289303	0.0177855	0.00207249	0.00177242	0.416837	0.000917333	0.00906159	0.1647	0	0	0
15	0.0081	0.00321746	0.0180381	0.00212063	0.00191595	0.424161	0.000658389	0.0100404	0.16624	0	0	0
16	0.00864	0.00352393	0.0179993	0.0021463	0.00206333	0.430767	0.000414962	0.0109629	0.162247	0	0	0
17	0.00918	0.00381237	0.0177783	0.00216253	0.00221443	0.436752	0.000252587	0.0118292	0.15318	0	0	0
18	0.00972	0.00408826	0.0175489	0.00217761	0.00236887	0.442122	0.000110577	0.0126549	0.140351	0	0	0
19	0.01026	0.00435579	0.0173927	0.00220761	0.00252627	0.446909	0.000141909	0.0134524	0.124761	0	0	0
20	0.0108	0.0046258	0.0175012	0.00225873	0.002686	0.451017	0.000199304	0.0142521	0.108571	0	0	0
