TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0.0202112	0.0148509	0.0279717	0.0450136	0.0433706	0.0418116	0.0680352	0.0644688	0.0617669	0.0143217	0.0197742	0.0183856	0.0215563	0.0198207	0.0287674	0.0326093	0.021736	0.0517064	0.0491716	0.0110491	0.0158125	0.0209029	0.0514593	0.00941925	0.0514152	0.0227785	0.0178965	0.0451153	0.0349926	0.0476019	0.0400887	0.0413612	0.0266319	0.0470203	0.0475837	0.0356948	0.0411945	0.0396329
1	0.00054	0.0202112	0.0148509	0.0279717	0.0450136	0.0433706	0.0418116	0.0680352	0.0644688	0.0617669	0.0143217	0.0197742	0.0183856	0.0215563	0.0198207	0.0287674	0.0326093	0.021736	0.0517064	0.0491716	0.0110491	0.0158125	0.0209029	0.0514593	0.00941925	0.0514152	0.0227785	0.0178965	0.0451153	0.0349926	0.0476019	0.0400887	0.0413612	0.0266319	0.0470203	0.0475837	0.0356948	0.0411945	0.0396329
2	0.00108	0.0202077	0.0148509	0.0279626	0.0450032	0.0433706	0.0418116	0.068024	0.0645964	0.0617669	0.0143218	0.0197742	0.0183856	0.0215554	0.0198207	0.0287674	0.0325958	0.021736	0.0518241	0.0491716	0.0110491	0.0158128	0.0209029	0.0514362	0.00941925	0.0515321	0.0227756	0.0178966	0.0451153	0.0349829	0.0476019	0.0400887	0.0414754	0.0266319	0.0470203	0.0476832	0.0356948	0.0411945	0.0396447
3	0.00162	0.0202085	0.0148495	0.0279657	0.0450068	0.0433548	0.0418097	0.0679626	0.0645304	0.0618653	0.0143218	0.0197763	0.0183878	0.0215556	0.0198203	0.0287567	0.0326006	0.0217375	0.0517779	0.0492574	0.011049	0.0158127	0.0209006	0.051569	0.00941829	0.0514864	0.0227768	0.0178966	0.0451191	0.0349859	0.047587	0.0400735	0.0414363	0.0266368	0.0469394	0.0476521	0.0356965	0.041196	0.0396318
4	0.00216	0.0202078	0.0148498	0.0279666	0.0450078	0.0433604	0.0418101	0.0679826	0.0645355	0.0618348	0.0143218	0.0197758	0.0183873	0.0215554	0.0198204	0.0287604	0.0326024	0.0217372	0.0517836	0.0492308	0.011049	0.0158128	0.0209011	0.0515294	0.00941851	0.0514922	0.0227778	0.0178966	0.0451179	0.0349863	0.0475923	0.0400788	0.0414401	0.0266357	0.046966	0.0476521	0.0356958	0.0411954	0.0396355
5	0.0027	0.0202054	0.0148495	0.0279651	0.0450062	0.0433628	0.0418097	0.0679775	0.0645772	0.0618348	0.0143219	0.0197762	0.0183878	0.0215548	0.0198203	0.0287616	0.0326011	0.0217375	0.0518283	0.0492312	0.011049	0.015813	0.0209006	0.0515209	0.00941831	0.0515368	0.0227785	0.0178967	0.0451176	0.0349836	0.0475944	0.0400809	0.0414828	0.0266367	0.046966	0.0476872	0.0356952	0.0411949	0.0396399
6	0.00324	0.0202037	0.0148486	0.0279676	0.0450091	0.0433615	0.0418084	0.0679534	0.0645654	0.0618693	0.014322	0.0197777	0.0183894	0.0215544	0.0198199	0.0287601	0.0326061	0.0217385	0.0518284	0.0492619	0.011049	0.0158132	0.020899	0.0515648	0.00941764	0.0515372	0.0227809	0.0178968	0.0451185	0.0349847	0.0475932	0.0400794	0.0414835	0.0266402	0.0469366	0.0476872	0.0356948	0.0411945	0.0396362
7	0.00378	0.0202016	0.0148479	0.027971	0.0450132	0.0433678	0.0418076	0.0679528	0.0645617	0.0618693	0.014322	0.0197787	0.0183904	0.0215538	0.0198197	0.0287634	0.032613	0.0217391	0.0518335	0.0492627	0.0110489	0.0158134	0.0208979	0.0515645	0.00941719	0.0515427	0.0227841	0.0178969	0.0451178	0.0349864	0.0475989	0.040085	0.0414864	0.0266425	0.0469366	0.0476872	0.0356934	0.0411932	0.0396356
8	0.00432	0.0201983	0.014847	0.0279736	0.0450162	0.0433763	0.0418064	0.0679502	0.0645855	0.0618693	0.0143221	0.01978	0.0183918	0.021553	0.0198194	0.028768	0.0326189	0.02174	0.0518647	0.0492638	0.0110489	0.0158137	0.0208965	0.0515594	0.0094166	0.0515743	0.0227876	0.017897	0.0451169	0.0349865	0.0476068	0.0400927	0.0415137	0.0266455	0.0469366	0.0477088	0.0356915	0.0411915	0.0396368
9	0.00486	0.020195	0.0148457	0.027978	0.0450215	0.0433839	0.0418046	0.0679351	0.0645899	0.0618906	0.0143223	0.019782	0.018394	0.0215521	0.0198189	0.0287716	0.0326281	0.0217414	0.0518806	0.0492837	0.0110489	0.0158141	0.0208943	0.0515843	0.00941568	0.0515908	0.0227922	0.0178972	0.0451164	0.0349884	0.0476137	0.0400992	0.0415265	0.0266503	0.0469183	0.047719	0.0356894	0.0411897	0.0396339
