TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	77.5574	98.9823	93.5143	98.5119	99.8905	96.4854	96.486	85.1398	92.4808	96.3464	99.2208	99.8209	93.1669	81.306	88.6643	99.5854	89.7265	97.4163	99.9587	79.0589	97.995	99.8096	92.3687	96.2202	99.9792	85.4287	96.8202	99.3834	97.5212	94.3285	85.3044	98.064	95.7386	96.3006	96.21	99.7011	99.3161	91.9697
1	0.00054	77.5574	98.9823	93.5143	98.5119	99.8905	96.4854	96.486	85.1398	92.4808	96.3464	99.2208	99.8209	93.1669	81.306	88.6643	99.5854	89.7265	97.4163	99.9587	79.0589	97.995	99.8096	92.3687	96.2202	99.9792	85.4287	96.8202	99.3834	97.5212	94.3285	85.3044	98.064	95.7386	96.3006	96.21	99.7011	99.3161	91.9697
2	0.00108	77.5828	98.9823	93.5365	98.5187	99.8905	96.4854	96.4939	84.9127	92.4808	96.3459	99.2208	99.8209	93.1698	81.306	88.6643	99.5916	89.7265	97.3234	99.9587	79.0589	97.9942	99.8096	92.4027	96.2202	99.9857	85.4433	96.8198	99.3834	97.5322	94.3285	85.3044	97.9679	95.7386	96.3006	96.1042	99.7011	99.3161	91.9465
3	0.00162	77.5771	98.9846	93.529	98.5164	99.8932	96.4876	96.5372	85.0304	92.3607	96.346	99.2186	99.8197	93.1691	81.3093	88.6999	99.5894	89.7206	97.3601	99.966	79.0596	97.9944	99.8107	92.2062	96.2253	99.9833	85.4371	96.8199	99.3819	97.5287	94.3484	85.3476	98.0011	95.7286	96.3854	96.1375	99.7005	99.3154	91.972
4	0.00216	77.5824	98.9841	93.5268	98.5157	99.8923	96.4871	96.5231	85.0213	92.3981	96.346	99.2191	99.82	93.1698	81.3086	88.6877	99.5886	89.7219	97.3555	99.9638	79.0595	97.9942	99.8104	92.265	96.2241	99.9836	85.4324	96.8199	99.3824	97.5284	94.3413	85.3324	97.9979	95.7309	96.3577	96.1375	99.7008	99.3157	91.9647
5	0.0027	77.6002	98.9846	93.5304	98.5168	99.8919	96.4875	96.5267	84.9471	92.3981	96.3457	99.2186	99.8197	93.1718	81.3093	88.6836	99.5892	89.7207	97.32	99.9639	79.0596	97.9937	99.8107	92.2777	96.2252	99.9859	85.4291	96.8196	99.3824	97.5314	94.3385	85.3265	97.9616	95.7288	96.3577	96.1	99.701	99.3159	91.9559
6	0.00324	77.6122	98.9861	93.5243	98.5148	99.8921	96.489	96.5436	84.9681	92.3558	96.3455	99.217	99.8189	93.1732	81.3116	88.6886	99.5869	89.7165	97.32	99.9664	79.0601	97.9933	99.8114	92.2125	96.2287	99.986	85.4172	96.8194	99.3821	97.5301	94.3402	85.3308	97.9611	95.7218	96.3883	96.1	99.7011	99.3161	91.9633
7	0.00378	77.6279	98.9872	93.5158	98.5121	99.891	96.49	96.5441	84.9747	92.3558	96.3452	99.216	99.8184	93.175	81.3131	88.6776	99.5837	89.7137	97.3159	99.9664	79.0605	97.9929	99.812	92.2129	96.2311	99.9862	85.401	96.8191	99.3824	97.5282	94.3325	85.315	97.9586	95.7171	96.3883	96.1	99.7016	99.3167	91.9645
8	0.00432	77.6524	98.9886	93.5097	98.5101	99.8895	96.4914	96.5459	84.9323	92.3558	96.3448	99.2146	99.8176	93.1778	81.3152	88.6622	99.581	89.71	97.291	99.9665	79.0609	97.9922	99.8126	92.2205	96.2343	99.9878	85.3837	96.8188	99.3828	97.5281	94.322	85.2933	97.9353	95.711	96.3884	96.0768	99.7023	99.3175	91.962
9	0.00486	77.6765	98.9908	93.4987	98.5066	99.8882	96.4934	96.5565	84.9244	92.3297	96.3445	99.2125	99.8165	93.1806	81.3183	88.6503	99.5767	89.7043	97.2782	99.9681	79.0616	97.9914	99.8137	92.1834	96.2392	99.9885	85.3611	96.8184	99.383	97.526	94.3128	85.2748	97.9243	95.7014	96.4073	96.0658	99.703	99.3183	91.9678
10	0.0054	77.7008	98.9929	93.483	98.5016	99.8862	96.4955	96.5608	84.9351	92.3174	96.3441	99.2103	99.8153	93.1834	81.3214	88.6303	99.571	89.6986	97.2733	99.9689	79.0623	97.9907	99.8147	92.164	96.244	99.9888	85.3331	96.818	99.3834	97.5221	94.2987	85.2459	97.9227	95.6919	96.4163	96.0658	99.7039	99.3195	91.9747
11	0.00594	77.7292	98.9951	93.4657	98.4961	99.8835	96.4975	96.5605	84.9298	92.3174	96.3436	99.2082	99.8142	93.1867	81.3246	88.6022	99.5645	89.6929	97.2617	99.969	79.063	97.9899	99.8157	92.1654	96.2488	99.9895	85.3015	96.8176	99.3842	97.518	94.2797	85.2066	97.9152	95.6824	96.4163	96.06	99.7051	99.3208	91.9792
12	0.00648	77.7645	98.9976	93.4504	98.4912	99.8804	96.4999	96.5637	84.8803	92.3109	96.3431	99.2057	99.8128	93.1908	81.3283	88.5713	99.5585	89.6862	97.2312	99.9696	79.0637	97.9889	99.8169	92.1633	96.2545	99.9911	85.2693	96.817	99.385	97.5153	94.2586	85.163	97.8888	95.6712	96.421	96.0326	99.7064	99.3224	91.9819
13	0.00702	77.7945	99.0007	93.4272	98.4838	99.8775	96.5029	96.5741	84.8962	92.2801	96.3426	99.2025	99.8111	93.1942	81.3328	88.5433	99.55	89.6779	97.2263	99.9714	79.0647	97.988	99.8184	92.1146	96.2615	99.9914	85.2303	96.8166	99.3857	97.509	94.2388	85.1225	97.8885	95.6572	96.4433	96.0326	99.7078	99.324	91.9955
