TimeSlice	Time	adductorbrevis	adductorlongus	adductormagnus	bicepsfemorisanterior	bicepsfemorisposterior	caudofemoralis	extensordigitorumlongus	flexordigitorumlongus	flexorhallucislongus	gemellusinferior	gemellussuperior	gluteusmaximus	gluteusmedius	gluteusminimus	gracilisanterior	gracilisposterior	illiopsoas	lateralgastrocnemius	medialgastrocnemius	obturatorexternus	obturatorinternus	pectineus	peroneuslongus	piriformis	plantaris	popliteus	quadratusfemoris	rectusfemoris	semimembranosus	semitendinosusaccessory	semitendinosusprincipal	soleus	tensorfascialatae	tibialisanterior	tibialisposterior	vastusintermedius	vastuslateralis	vastusmedialis
0	0	0.00483348	0.09916	0.00605122	0.124772	0.0491483	0.00607682	0.00343804	0.0925451	0.44	0.0235738	0.00206993	0.00684981	0.00149855	0.000409629	0.246483	0.0137557	0.00122581	0.0144541	0	0.000217528	0.0107037	0.0689827	0.00102857	0.002181	0	0.00223279	0.00617968	0.831964	0.000710542	0.00676741	0.0306671	0.34994	0.0357743	1.09543	0.0044703	0.186386	0.0254402	0.26716
1	0.00054	0.00962247	0.168418	0.01191	0.228451	0.0523549	0.0121203	0.00678532	0.165911	0.44	0.0461682	0.00402314	0.0135238	0.00293292	0.000814902	0.435807	0.0170428	0.00236196	0.0287606	8.92469e-007	0.000432262	0.0211532	0.118604	0.0020366	0.00433718	4.52447e-008	0.00443084	0.0121047	1.41639	0.00140595	0.0130605	0.05221	0.635599	0.0700218	1.97882	0.00891663	0.34214	0.0504122	0.522848
2	0.00108	0.0142471	0.216792	0.0175237	0.308472	0.0525639	0.0181306	0.00999477	0.29351	0.44	0.0679136	0.00586622	0.0200265	0.00381998	0.00121587	0.581227	0.0024906	0.00341502	0.045672	1.53091e-005	0.000644237	0.031526	0.154299	0.00131017	0.0064688	0.0777704	0.0065942	0.0179143	1.82693	0.00203202	0.0189124	0.0673433	0.9473	0.102808	2.69123	0.0141501	0.472296	0.0749246	0.784788
3	0.00162	0.0187391	0.248933	0.0229164	0.370647	0.0477253	0.0237918	0.0130764	0.399752	0.44	0.0888232	0.0086184	0.0273668	0.00430295	0.00142112	0.690022	0	0.0047876	0.0626124	0.0172323	0.000826169	0.041775	0.168708	0.00281427	0.00836872	0.0912797	0.00872439	0.0235886	2.12578	0.0026052	0.0243334	0.0757271	1.20898	0.138663	3.20736	0.0195735	0.581184	0.0990086	1.03115
4	0.00216	0.023131	0.270121	0.0281299	0.421729	0.0439821	0.0291842	0.0160734	0.429261	0.44	0.10891	0.0119622	0.0352708	0.00453789	0.00147776	0.7715	0	0.00635091	0.0778889	0.0238205	0.000984192	0.051866	0.170589	0.00540531	0.0100915	0.0499797	0.0108291	0.0290886	2.34362	0.0031528	0.0293587	0.0800503	1.38026	0.176286	3.60738	0.0243444	0.672055	0.122627	1.26151
5	0.0027	0.0274065	0.284085	0.033161	0.462739	0.0440914	0.0343978	0.0190255	0.433594	0.44	0.128216	0.0156033	0.0434548	0.00446279	0.00144595	0.833868	0	0.00798876	0.0924056	0.0116406	0.00112868	0.0618205	0.166455	0.00634198	0.0116948	0.0284886	0.0129087	0.0344464	2.49875	0.00366726	0.0340312	0.083173	1.42	0.214448	3.97443	0.028693	0.74622	0.145522	1.48359
6	0.00324	0.0315134	0.292742	0.0379546	0.488836	0.0436863	0.0393839	0.0219047	0.521015	0.44	0.146821	0.0196591	0.052069	0.00387949	0.00129282	0.881122	0	0.00974691	0.109108	0.00203218	0.00125549	0.0717175	0.156426	0.00531344	0.0131521	0.0920907	0.0149511	0.0397224	2.61161	0.00410504	0.0383724	0.0851073	1.42	0.253751	4.29861	0.0339298	0.806614	0.167736	1.70439
7	0.00378	0.0354392	0.296968	0.042496	0.500384	0.0368162	0.044005	0.0246393	0.679401	0.44	0.164759	0.0245576	0.0615411	0.00275915	0.00094532	0.91353	0	0.0117973	0.128538	0.0200628	0.00134904	0.0815823	0.137083	0.00597032	0.014372	0.180189	0.0169518	0.0449349	2.70421	0.00445338	0.0423786	0.0834058	1.42	0.296108	4.49447	0.0405094	0.858119	0.189721	1.91884
8	0.00432	0.0392365	0.297861	0.046844	0.505361	0.0271496	0.048233	0.027226	0.796474	0.44	0.182021	0.030358	0.0719671	0.00133604	0.000373984	0.933393	0	0.0141555	0.148066	0.0508465	0.00141118	0.091338	0.109807	0.0105718	0.0153374	0.1968	0.0189214	0.0500272	2.78596	0.00475352	0.0460619	0.0781782	1.42	0.341896	4.553	0.0473979	0.903444	0.211672	2.1168
9	0.00486	0.0429721	0.297126	0.0510638	0.511206	0.0227383	0.0521996	0.029744	0.813937	0.44	0.198587	0.036582	0.082897	0	0	0.946337	0	0.0166328	0.165277	0.0617134	0.00145239	0.100895	0.0816147	0.0169935	0.0161393	0.137459	0.0208701	0.0549351	2.85182	0.00505184	0.0494659	0.0728768	1.42	0.389072	4.57345	0.0534559	0.941361	0.233226	2.2957
